number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
1,L2025-00110,1,L2025-00110-1,알제리 전자무역 사업 기자재(데스크탑) 공급,물품,일반경쟁,2025-12-09,이일령,False
2,L2025-00109,1,L2025-00109-1,인도네시아 국립대학교 MOOC 교육시스템 구축업체 선정,용역,일반경쟁,2025-12-17,안광수,False
3,L2025-00108,1,L2025-00108-1,알제리 실험실 설계감리 용역,용역,일반경쟁,2025-11-26,이일령,True
4,L2025-00107,1,L2025-00107-1,(긴급) 세네갈 국가공중보건실험실(LNSP) 리모델링 시공 감리 용역 선정 현지입찰,용역,일반경쟁,2025-12-15,남다현,True
5,L2025-00106,1,L2025-00106-1,세네갈 실험실 리모델링 사업 Control Office 계약,용역,수의계약,2025-10-23,남다현,True
6,L2025-00105,1,L2025-00105-1,"KOICA 4차 단기교육과정 실습재료 공급(용접, 배관)",물품,일반경쟁,2025-11-26,김효제,False
7,L2025-00104,1,L2025-00104-1,캄보디아 직업훈련기관(TVET기관) ICT Lab 사무가구 기자재 공급 및 설치,물품,일반경쟁,2025-11-24,김수진,False
8,L2025-00103,1,L2025-00103-1,캄보디아 직업훈련기관(TVET기관) ICT Lab IT 기자재 공급 및 설치,물품,일반경쟁,2025-11-24,김수진,False
9,L2025-00102,1,L2025-00102-1,알제리 전자무역 사업 기자재(복합기) 공급,물품,일반경쟁,2025-11-12,이일령,False
10,L2025-00101,1,L2025-00101-1,알제리 전자무역 사업 기자재(데스크탑) 공급,물품,일반경쟁,2025-11-12,이일령,False
11,L2025-00100,2,L2025-00100-2,(재공고) 필리핀 기마라스주 수산양식역량강화 사업 차량 구매,물품,일반경쟁,2025-11-26,유지영,False
12,L2025-00100,1,L2025-00100-1,필리핀 기마라스주 수산양식역량강화 사업 차량 구매,물품,일반경쟁,2025-11-19,유지영,False
13,L2025-00099,1,L2025-00099-1,키르기스스탄 추이 주 교내 위생환경 개선 사업(프로젝트봉사단) 리모델링 시공업체 선정 현지 입찰,공사,일반경쟁,2025-11-13,김승연,True
14,L2025-00098,1,L2025-00098-1,우간다 국별협력사업 2건 사업수행용 차량 공급,물품,일반경쟁,2025-10-24,오정호,False
15,L2025-00097,1,L2025-00097-1,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업 ICT 교육센터 신축공사를 위한 설계 및 저작권감리용역,용역,일반경쟁,2025-10-29,박연수,True
16,L2025-00096,1,L2025-00096-1,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업 차양 물품 구매,물품,수의계약,2025-10-21,백소담,False
17,L2025-00095,1,L2025-00095-1,방글라데시 청년창업 활성화를 위한 대학 창업교육 역량강화 지원사업 ICT 기자재 및 가구 공급업체 선정 현지 긴급 국제경쟁 입찰,물품,일반경쟁,2025-10-06,양현우,False
18,L2025-00094,1,L2025-00094-1,[재공고][긴급] 필리핀 기마라스주 해수양식센터 건립 설계 용역업체 선정,용역,일반경쟁,2025-10-22,유지영,True
19,L2025-00093,1,L2025-00093-1,(긴급) 카메룬 응급의료체계 구축사업 1차 기자재 구매,물품,일반경쟁,2025-10-21,나혜선,False
20,L2025-00092,1,L2025-00092-1,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 실험실 기자재(바이오센터-2) 입찰,물품,일반경쟁,2025-09-25,배한준,False
21,L2025-00091,1,L2025-00091-1,라오스 남부 3개주 농촌종합개발사업 남부농업기술훈련원 가구 및 전자 기자재 입찰 용역,물품,일반경쟁,2025-09-03,김여진,False
22,L2025-00090,2,L2025-00090-2,인도네시아 재난대응 공공의료훈련 역량강화사업 설계사 선정,용역,일반경쟁,2025-12-17,안광수,True
23,L2025-00090,1,L2025-00090-1,인도네시아 재난대응 공공의료훈련 역량강화사업 설계사 선정,용역,일반경쟁,2025-10-17,안광수,True
24,L2025-00089,1,L2025-00089-1,우간다 국별협력사업 2건 사업수행용 차량 공급,물품,일반경쟁,2025-10-08,오정호,False
25,L2025-00088,1,L2025-00088-1,(긴급) 타지키스탄 전력소외 지역 전력망 구축 2차 사업 기자재 현지 입찰,물품,일반경쟁,2025-10-08,이창원,False
26,L2025-00087,1,L2025-00087-1,(긴급) 타지키스탄 전력소외 지역 전력망 구축 2차 사업 건축 현지 입찰,공사,일반경쟁,2025-10-08,이창원,True
27,L2025-00086,1,L2025-00086-1,네팔 Province4(간다키 주) 직업교육학교 건축 설계 및 감리 용역업체 선정,용역,일반경쟁,2025-09-08,최충희,True
28,L2025-00085,1,L2025-00085-1,(긴급) 한-이라크 심장병 어린이 전문 병원 신축공사(신규입찰),공사,일반경쟁,2025-10-06,김성욱,True
29,L2025-00084,1,L2025-00084-1,우간다 마케레레 대학 원격교육 조성사업 신축 공사,공사,일반경쟁,2025-09-29,김효제,True
30,L2025-00083,1,L2025-00083-1,KOICA 4차 단기교육과정 실습재료 공급(패션),물품,일반경쟁,2025-09-25,김효제,False
31,L2025-00082,1,L2025-00082-1,"KOICA 4차 단기교육과정 실습재료 공급(용접, 배관)",물품,일반경쟁,2025-09-25,김효제,False
32,L2025-00081,1,L2025-00081-1,"KOICA 4차 단기교육과정 실습재료 공급(전기, 자동차)",물품,일반경쟁,2025-09-25,김효제,False
