number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
1,L2020-00034,1,L2020-00034-1,"코트디부아르 아비장시 상수급수 연결 2차 사업 WASH 프로그램, 기초선 및 종료선 조사 기술용역",용역,일반경쟁,2020-12-30,이영인,False
2,L2020-00033,1,L2020-00033-1,"코트디부아르 아비장시 상수급수 연결 2차 사업 WASH 프로그램, 기초선 및 종료선 조사 기술용역",용역,일반경쟁,2020-11-30,이영인,False
3,L2020-00031,1,L2020-00031-1,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원 사업 일반기자재(전자 및 기타) 입찰,물품,일반경쟁,2020-11-23,김성은,False
4,L2020-00030,1,L2020-00030-1,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원 사업 일반기자재(가구) 입찰,물품,일반경쟁,2020-11-23,김성은,False
5,L2020-00029,1,L2020-00029-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 림삐오 병원 신관 신축 및 구관 리모델링 현지 감리업체 선정 국제경쟁입찰,용역,일반경쟁,2020-11-16,양현우,True
6,L2020-00028,1,L2020-00028-1,파라과이 도로기술연구소 구축을 통한 도로기술역량강화사업 기자재 (재)입찰,물품,일반경쟁,2020-10-31,김현석,False
7,L2020-00027,1,L2020-00027-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 림삐오 병원 신관 신축 및 구관 리모델링 현지 시공업체 선정 국제경쟁입찰 재입찰,공사,일반경쟁,2020-11-09,양현우,True
8,L2020-00026,1,L2020-00026-1,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원 사업 의료기자재 입찰,물품,일반경쟁,2020-11-06,김성은,False
9,L2020-00025,1,L2020-00025-1,필리핀 카비테 한-필 친선병원 코로나19 대응 역량강화를 위한 의료장비 기자재 공급 및 설치 업체 선정,물품,일반경쟁,2020-10-22,이현주,False
10,L2020-00024,1,L2020-00024-1,네팔 통합적 지역개발을 위한 연구개발 인프라 구축사업” 연구혁신센터 기자재 공급 및 설치 업체 선정,물품,일반경쟁,2020-10-28,최종성,False
11,L2020-00023,1,L2020-00023-1,이라크 중환자 전문병원 신축공사 시공업체 선정 입찰,공사,일반경쟁,2020-10-19,정준영,True
12,L2020-00022,2,L2020-00022-2,에티오피아 오로미아주 모자보건 및 가족계획 역량강화사업 헤토사 1차 병원 현지시공 국제입찰,공사,일반경쟁,2020-11-26,신승환,True
