source_record_id,project_no_effective,country_ko,record_title,old_record_cost_status,old_project_technical_status,in_170_universe,exact_bid_overlap,new_project_grade,mapping_method,warning
15085055:91,2021-00042,우간다,"우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업('21·'28/1,200만불)",U-근거부족,U,1,L2023-00028-1;L2024-00050-1;L2025-00062-1,C,exact_bid_no_or_exact_project_no,127 공식 원기록과 170 공고는 서로 다른 모집단
15085055:31,2022-00064,우간다,"우간다 마케레레대학교 ICT 교육환경 조성사업('23·'28/1,220만불)",U-근거부족,U,1,L2024-00072-1;L2025-00084-1,C,exact_bid_no_or_exact_project_no,127 공식 원기록과 170 공고는 서로 다른 모집단
15052832:654,2011-00051,우간다,우간다 과일가공공장 건립사업('11-'19/800만불)...,U-전체사업정보,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15052832:653,2011-00052,우간다,우간다 농업지도자연수원 건립사업('11-'17/440만불)...,U-전체사업정보,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15052832:509,2015-00034,우간다,우간다 새마을운동 시범마을 건립사업('15-'18/295만불)...,U-전체사업정보,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15052832:664,2011-00024,우간다,우간다 직업훈련원 건립사업('11-'18/579만불)...,U-전체사업정보,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15073135:83,2023-00098,몽골,몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업 시스템 구축 감리 용역,X-용역계약,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15073135:42,2021-00085,우즈베키스탄,우즈베키스탄 유아교사 역량강화 및 유아교육진흥센터 건립사업 유아체험관 체험시설 설계 및 제작설치,X-용역계약,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15073135:43,2021-00085,우즈베키스탄,우즈베키스탄 유아교사 역량강화 및 유아교육진흥센터 건립사업 유아체험관 체험시설 설계 및 제작설치,X-용역계약,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
15085055:80,2024-00089,DR콩고,DR콩고 북카탕가주 감염병 감시 역량 강화사업('24·'27/600만불),X-설계·감리·기타용역,U,0,,,not_mapped,127 공식 원기록과 170 공고는 서로 다른 모집단
