bid_no,project_no,legacy_evidence_grade,legacy_area_m2,legacy_cost_usd,legacy_cost_stage,legacy_recommended_unit_rate,new_notice_grade,new_project_grade,new_scope_status,mapping_method,discrepancy_rule
L2017-00001-1,201701,B,8694.0,5784000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2017-00005-1,L2017-0004,A,2541.35,3572800.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2017-00007-1,2016-00028,B,1562.68,1227580.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2017-00011-1,2014-00024,B,2250.0,2550000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2018-00011-1,2016-00002,A,1987.0,1623300.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2018-00012-1,2016-20150,B,6615.0,4486860.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2018-00014-1,2016-00003,A,6428.0,4580780.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2018-00020-1,2016-00206,A,7599.0,5497600.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2018-00029-1,2013-00007,A,2879.23,4114500.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2019-00010-1,2015-00012,A,1549.83,1200000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2019-00011-1,2016-00202,A,5625.0,5600000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2019-00021-1,2017-07115,A,5455.0,5350000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2019-00024-1,2015-00011,A,12974.0,7300000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2019-00043-1,2016-00206,A,3944.3,2654320.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2020-00001-2,2017-07192,A,4177.94,4080000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2020-00009-1,2016-00067,B,7450.0,3685199.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2020-00022-2,2015-00006,A,4916.0,3116205.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2020-00023-1,2016-00005,A,6906.0,16440000.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
L2021-00015-1,2019-00064,A,2299.26,2746477.0,공사 입찰 집행한도,아니오,C,C,MATCH,exact_bid_no,legacy A/B/C는 비교가능성 등급이라 새 A/B/C로 승계하지 않음
