bid_base_no,project_no,country_ko,notice_count,bid_nos,representative_bid_no,latest_notice_date,representative_title,best_grade,scope_role,same_scope_status,area_m2,construction_cost_usd,screening_unit_usd_m2,duplicate_rule
L2023-00068,2011-00008,캄보디아,1,L2023-00068-1,L2023-00068-1,2023-11-21,캄보디아 앙두엉 안과전문병원 설립사업 리모델링 공사,C,WORKS,MATCH,3500.0,239882.0,68.53771428571429,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00017,2012-00016,파키스탄,1,L2021-00017-1,L2021-00017-1,2021-05-17,건조농대 농축산 역량강화센터 및 수자원 연수센터 사후관리를 위한 시공업체 선정입찰,U,WORKS,PARTIAL_SCOPE,,731618.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00025,2013-00007,볼리비아,2,L2018-00025-1;L2018-00025-2,L2018-00025-2,2018-12-14,(재입찰)볼리비아 엘알토 한국병원 3차 지원사업 감리업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2879.23,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00026,2013-00007,볼리비아,1,L2018-00026-1,L2018-00026-1,2018-10-07,볼리비아 엘알토 병원 3차 지원사업 시공 현지입찰,C?,WORKS,MATCH,2879.23,4114500.0,1429.027899820438,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00029,2013-00007,볼리비아,1,L2018-00029-1,L2018-00029-1,2018-11-23,(재입찰)볼리비아 El-Alto 한국병원 3차 지원사업 시공업체선정,C,WORKS,MATCH,2879.23,4114500,1429.027899820438,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00012,2013-00064,볼리비아,2,L2025-00012-1;L2025-00012-2,L2025-00012-2,2025-05-09,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰 재공고,B,WORKS,MATCH,87.22,98954.0,1134.5333639073608,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00039,2014-00016,이라크,1,L2024-00039-1,L2024-00039-1,2024-05-12,한-이라크 직업훈련원 2차 지원사업 리노베이션 시공업체선정 현지입찰,C,WORKS,MATCH,8217.0,1811491.0,220.45649263721552,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2017-00011,2014-00024,투르크메니스탄,1,L2017-00011-1,L2017-00011-1,2017-12-27,투르크메니스탄 가스직업훈련원 역량강화사업 설계시공입찰,C,DESIGN_BUILD_WORKS,MATCH,2250.0,2550000.0,1133.3333333333333,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00044,2014-00031,엘살바도르,1,L2019-00044-1,L2019-00044-1,2019-11-01,"엘살바도르 치안강화를 위한 차량 자동인식시스템 구축사업, CCTV 역량강화센터 2층 리모델링 시공업체 선정",U,WORKS,NO_MATCH,,235960.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00034,2015-00006,에티오피아,1,L2019-00034-1,L2019-00034-1,2019-08-07,에티오피아 오로미아주 모자보건 및 가족계획 역량 강화사업 헤토사 1차 병원 설계 및 시공 감리 용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3997.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00037,2015-00006,에티오피아,1,L2019-00037-1,L2019-00037-1,2019-08-11,에티오피아 오로미아주 모자보건 및 가족계획 1차 병원 건립 설계 및 시공감리 용역업체 선정 현지입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3997.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00022,2015-00006,에티오피아,2,L2020-00022-1;L2020-00022-2,L2020-00022-2,2020-11-26,에티오피아 오로미아주 모자보건 및 가족계획 역량강화사업 헤토사 1차 병원 현지시공 국제입찰,C,WORKS,MATCH,4916.0,3116205.0,633.890358014646,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00008,2015-00011,스리랑카,1,L2018-00008-1,L2018-00008-1,2018-05-16,스리랑카 기술계 교사양성 및 재교육 사업 신축 설계 및 CA용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,12960.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00024,2015-00011,스리랑카,1,L2019-00024-1,L2019-00024-1,2019-06-28,스리랑카 기술계 교사양성 및 재교육 사업 현지시공 국제입찰,C,WORKS,MATCH,12974.0,7161000,551.950053954062,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00010,2015-00012,네팔,1,L2019-00010-1,L2019-00010-1,2019-02-01,네팔 기술교사 역량강화를 통한 기술직업교육훈련 질적 제고 사업 IT 강의동 시공업체 선정 현지 입찰,C,WORKS,MATCH,1549.83,1200000.0,774.2784692514663,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00011,2016-00002,파라과이,1,L2018-00011-1,L2018-00011-1,2018-07-18,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 의료강화사업/ 보건소 신축 1단계 공사,C,WORKS,MATCH,1987.0,1623300.0,816.9602415702063,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00014,2016-00003,파라과이,1,L2018-00014-1,L2018-00014-1,2018-08-14,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원사업 산토 도밍고 노인 보인의료복지센터 신축 공사 시공자 선정 현지국제입찰,C,WORKS,MATCH,6428.0,4466261,694.8134723086497,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00023,2016-00005,이라크,1,L2020-00023-1,L2020-00023-1,2020-10-19,이라크 중환자 전문병원 신축공사 시공업체 선정 입찰,C,WORKS,MATCH,6906.0,16029000,2321.0251954821892,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2017-00007,2016-00028,라오스,1,L2017-00007-1,L2017-00007-1,2017-09-11,라오스 청년동맹 IT센터 역량강화사업 시공업체 선정,C,WORKS,MATCH,1562.68,1197640,766.4013105690224,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00019,2016-00029,네팔,1,L2019-00019-1,L2019-00019-1,2019-05-14,네팔 카트만두대학 둘리켈 캠퍼스 내 “네팔기술혁신센터 건립사업” 설계 및 감리업체 선정 현지입찰 계획(안),X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3024.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00003,2016-00029,네팔,1,L2020-00003-1,L2020-00003-1,2020-05-25,네팔 통합적 지역개발을 위한 연구개발 인프라구축사업 연구혁신센터 시공업체 선정 입찰,C?,WORKS,MATCH,3117.0,2910000.0,933.5899903753609,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00009,2016-00067,미얀마,1,L2020-00009-1,L2020-00009-1,2020-08-05,미얀마 농산물 유통센터 설립사업 시공업체 선정 입찰,C,WORKS,MATCH,7450.0,3685199.0,494.6575838926174,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00011,2016-00202,라오스,1,L2019-00011-1,L2019-00011-1,2019-03-07,라오스 이민국 신청사 건축 시공용역 현지입찰,C,WORKS,MATCH,5625.0,5600000.0,995.5555555555555,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
