audit_no,dataset_id,project_no,bid_no,bid_base_no,package_id,notice_date,country_ko,stored_country_ko,title,stored_contract_type,scope_role,facility_type,work_type,notice_ceiling_usd,notice_ceiling_krw_raw,notice_ceiling_usd_raw,selected_area_m2,area_semantics,area_aggregation,area_confidence,area_source_file,area_source_locator,area_quote,area_candidates,selected_construction_cost_usd,amount_stage,amount_scope,tax_basis,contingency_note,amount_source_file,amount_source_locator,amount_quote,amount_confidence,record_cost_semantics,record_scope_status,same_scope_status,screening_unit_usd_m2,notice_ceiling_to_selected_gap_pct,realized_price_available,final_grade,compact_grade,verification_level,grade_detail,manual_note,legacy_reviewed_case,legacy_evidence_grade,legacy_cost_stage,legacy_grade_not_inherited,strict_attachment_review,unit_cost_allowed_use,direct_future_estimate_ready,sample_weight_notice,source_url,grade_system_version,audit_date,indexed_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,scan_error_file_count,is_bid_base_representative,is_project_display_representative
1,2016-2020,201701,L2017-00001-1,L2017-00001,201701::L2017-00001,2017-01-23,세네갈,세네갈,세네갈 고등기술전문대학(ISEP) 설립사업 및 농업기술학교(CIPA) 역량강화사업 시공업체 선정,공사,WORKS,학교·교육시설,미분류,5784000.0,,"$ 5,784,000",8694.0,GFA,SUM_OR_MULTI,MANUAL_CURATED,L2017-00001-1/붙임2_입찰공고문(영문).docx,문단 19,"2개 시설 연면적 합계 8,694.00㎡; 집행한도 USD 5,784,000; 명목단가 USD 665/㎡.",6688:GFA;2006:GFA,5664262.66,ADVERTISED_ESTIMATED_BUDGET,BUILDING_WORKS_OR_DESIGN_BUILD,VAT_EXCLUDED,,L2017-00001-1/붙임2_입찰공고문(영문).docx,문단 15,"Estimated Budget: Approx. USD 5,664,262.66 (VAT excluded)",MANUAL_SOURCE_VERIFIED,WORKS_CEILING,MATCH,MATCH,651.5139935587762,2.11390867951029,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00001&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,1
2,2016-2020,L2017-0004,L2017-00005-1,L2017-00005,L2017-0004::L2017-00005,2017-08-15,에콰도르,에콰도르,에콰도르 과야스주 보건의료센터 건립사업 시공사 선정 입찰,공사,WORKS,병원,신축,3572800.0,,"$ 3,572,800",2541.35,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2017-00005-1/PUBLICACION INGLES FINAL 14 AGO 2017.docx,표 1 행 3,"총연면적 2,541.35㎡; 집행한도 USD 3,572,800; 명목단가 USD 1,406/㎡.",2541.35:GFA,3572800.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2017-00005-1/PUBLICACION INGLES FINAL 14 AGO 2017.docx,표 1 행 3,"총연면적 2,541.35㎡; 집행한도 USD 3,572,800; 명목단가 USD 1,406/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,1405.866960473764,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00005&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
3,2016-2020,2016-00028,L2017-00007-1,L2017-00007,2016-00028::L2017-00007,2017-09-11,라오스,라오스,라오스 청년동맹 IT센터 역량강화사업 시공업체 선정,공사,WORKS,기타·미분류,신축,1227580.0,,"$ 1,227,580",1562.68,GFA_OR_CURATED_AREA,SUM_OR_MULTI,MANUAL_CURATED,L2017-00007-1/청년동맹 IT 센터 Bid Announcement (20170911_신문공고).docx,표 1 행 4,"본동+연결통로 합계 1,562.68㎡; 집행한도 USD 1,227,580; 명목단가 USD 786/㎡.",1497.68:BUILDING_OR_CONSTRUCTION_AREA;65:BUILDING_OR_CONSTRUCTION_AREA,1197640,ADVERTISED_BUDGET_CAP,BUILDING_WORKS_OR_DESIGN_BUILD,VAT_EXCLUDED,,L2017-00007-1/청년동맹 IT 센터 Bid Announcement (20170911_신문공고).docx,문단 27,"The budget for this Project is estimated as USD 1,197,640 (Excluding V.A.T)",MANUAL_SOURCE_VERIFIED,WORKS_CEILING,MATCH,MATCH,766.4013105690224,2.499916502454824,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00007&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,1
4,2016-2020,2016-00206,L2018-00005-1,L2018-00005,2016-00206::L2018-00005,2017-10-03,요르단,요르단,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 설계감리 용역 선정,용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,신축,450000.0,,"$ 450,000",3492.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2018-00005-1/[KOICA] Invitation for Bids - Procurement of Consultants Services.pdf,페이지 1,"New Schools for Disadvantaged Students; Services Irbid, Mafraq, and Zarqa Al-Bayadhah Secondary School for Girls in Irbid: Total floor area 3,492 ㎡ for new construction work; - Service Area Al-Hamrah Basic Mixed Schoo",3492:GFA;3380:GFA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00005&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,0
5,2016-2020,2014-00024,L2017-00011-1,L2017-00011,2014-00024::L2017-00011,2017-12-27,투르크메니스탄,,투르크메니스탄 가스직업훈련원 역량강화사업 설계시공입찰,공사,DESIGN_BUILD_WORKS,학교·교육시설,신축,2550000.0,,"$ 2,550,000",2250.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2017-00011-1/입찰서류_투르크메니스탄 가스직업훈련원 설계시공입찰_영문본/Addendum No.1 Scope of the works_Rev 04.docx,문단 11,"계획 연면적 2,250.00㎡; 집행한도 USD 2,550,000; 명목단가 USD 1,133/㎡.",2250:GFA;2250:GFA;2250:GFA;2250:AMBIGUOUS_AREA;1790:AMBIGUOUS_AREA,2550000.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,설계·시공 일괄입찰,L2017-00011-1/입찰서류_투르크메니스탄 가스직업훈련원 설계시공입찰_영문본/Addendum No.1 Scope of the works_Rev 04.docx,문단 11,"계획 연면적 2,250.00㎡; 집행한도 USD 2,550,000; 명목단가 USD 1,133/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,1133.3333333333333,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,28,0,0,0,0,0,1,1
6,2016-2020,2015-00011,L2018-00008-1,L2018-00008,2015-00011::L2018-00008,2018-05-16,스리랑카,스리랑카,스리랑카 기술계 교사양성 및 재교육 사업 신축 설계 및 CA용역 입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,기타·미분류,신축,379000.0,,"$ 379,000",12960.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2018-00008-1/스리랑카 기술계 교사양성 및 재교육 사업 설계업체 현지입찰 첨부서류/04_Chapter_4._Invitation_to_Bid.docx,표 1 행 2," of Services | 1. Project Location: Kuliyapitiya, Kurunegala District, Sri Lanka. 2. Site Area: 11.41 Acre (46,174 m2) 3. Total Floor Area: 12,960 m2 4. Scope of Work : Design Consultant Service (Design Service & Constr",12960:GFA;12960:GFA;12960:GFA;12960:AMBIGUOUS_AREA;4709:AMBIGUOUS_AREA;2592:AMBIGUOUS_AREA;1632:AMBIGUOUS_AREA;1576:AMBIGUOUS_AREA;1248:AMBIGUOUS_AREA;1179:AMBIGUOUS_AREA;24:AMBIGUOUS_AREA;46174:SITE_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00008&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,14,0,0,0,0,0,1,0
7,2016-2020,2016-00002,L2018-00011-1,L2018-00011,2016-00002::L2018-00011,2018-07-18,파라과이,파라과이,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 의료강화사업/ 보건소 신축 1단계 공사,공사,WORKS,병원,신축,1623300.0,,"$ 1,623,300",1987.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2018-00011-1/림삐오 1차 시공 입찰 안내서 160718_수정 (1).hwp,문단 26,"총연면적 1,987.00㎡; 집행한도 USD 1,623,300; 명목단가 USD 817/㎡.",1987:GFA;1987:GFA;1.987:WORK_ITEM_AREA,1623300.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2018-00011-1/림삐오 1차 시공 입찰 안내서 160718_수정 (1).hwp,문단 26,"총연면적 1,987.00㎡; 집행한도 USD 1,623,300; 명목단가 USD 817/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,816.9602415702063,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
8,2016-2020,2016-20150,L2018-00012-1,L2018-00012,2016-20150::L2018-00012,2018-08-07,필리핀,필리핀,필리핀 퀴리노주 농촌종합개발 2차 사업 설계 및 시공 일괄용역,공사,DESIGN_BUILD_WORKS,농업시설,미분류,4486860.0,,"$ 4,486,860",6615.0,GFA,SUM_OR_MULTI,MANUAL_CURATED,L2018-00012-1/Addendum No.1 Scope of Works and Design Instruction (Quirino2).docx,문단 20,"3개 동 연면적 합계 6,615.00㎡; 집행한도 USD 4,486,860; 명목단가 USD 678/㎡.",6615:GFA;6615:GFA;6615:AMBIGUOUS_AREA;6615:AMBIGUOUS_AREA;3690:AMBIGUOUS_AREA;3690:AMBIGUOUS_AREA;2133:AMBIGUOUS_AREA;2133:AMBIGUOUS_AREA;792:AMBIGUOUS_AREA;792:AMBIGUOUS_AREA,4374688,ADVERTISED_ESTIMATED_BUDGET,BUILDING_WORKS_OR_DESIGN_BUILD,VAT_INCLUDED,Provisional sum 8% included,L2018-00012-1/Bid Announcement (Quirino2)_final.docx,표 1 행 7,"Estimated Budget USD 4,374,688.00 (Inclusive of VAT, provisional sum)",MANUAL_SOURCE_VERIFIED,WORKS_CEILING,MATCH,MATCH,661.3284958427815,2.5641142865502564,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00012&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
9,2016-2020,2016-00003,L2018-00014-1,L2018-00014,2016-00003::L2018-00014,2018-08-14,파라과이,파라과이,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원사업 산토 도밍고 노인 보인의료복지센터 신축 공사 시공자 선정 현지국제입찰,공사,WORKS,기타·미분류,신축,4580780.0,,"$ 4,580,780",6428.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2018-00014-1/Bidding Guideline_Santo Domingo_180818.docx,문단 44,"총연면적 6,428.00㎡; 집행한도 USD 4,580,780; 명목단가 USD 713/㎡.",6428:GFA;6428:AMBIGUOUS_AREA;13000:SITE_AREA;13000:SITE_AREA,4466261,BASIC_ESTIMATED_PRICE,BUILDING_WORKS_OR_DESIGN_BUILD,VAT_EXEMPT,,L2018-00014-1/Bidding Guideline_Santo Domingo_180818.docx,문단 64,"Basic Estimated Price: USD 4,466,261 (VAT exempted)",MANUAL_SOURCE_VERIFIED,WORKS_CEILING,MATCH,MATCH,694.8134723086497,2.5640910820034835,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00014&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
10,2016-2020,2017-07115,L2018-00015-1,L2018-00015,2017-07115::L2018-00015,2018-09-14,우즈베키스탄,가나,우즈베키스탄 페르가나 직업훈련원 건축 설계/감리업체 현지입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,산업·직업훈련시설,신축,380000.0,,"$ 380,000",5000.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2018-00015-1/우즈벡_페르가나직훈원_설계 및 감리업체 선정 입찰공고(국문).pdf,페이지 1,"범위: 3. 제안요청서는 입찰설명회에서 참석자에게 제공 예정 ž 건축 계획설계, 기본설계 및 실시설계 4. 제안서 사용 언어: 영어 ž 건축시공감리(저작권감리 및 기술감리 5. 사업의 진행 기간 동안 낙찰자가제출한 서류가 ž 건축 연면적(신축): 약 5,000㎡ 허위이거나 자격 요건 등이 허위로 밝혀질 경우, • 사업부지 위치: 112 Al-Fargoniy Street, Fergana",5000:GFA;5000:GFA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00015&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,2,0,0,0,0,0,1,0
