project_no,country_ko,project_name,notice_count,bid_base_group_count,valid_area_cost_notice_count,valid_bid_nos,all_bid_nos,display_representative_bid,technical_evidence_bid,price_evidence_bid,best_grade,compact_grade,verification_level,scope_status,representative_area_m2,representative_construction_cost_usd,representative_amount_stage,screening_unit_usd_m2,unit_cost_allowed_use,direct_future_estimate_ready,screening_sample_weight,direct_estimate_sample_weight,related_other_package_grade,related_other_package_bid,related_other_package_note,duplicate_and_scope_warning,grade_detail,source_url,grade_system_version,audit_date
2021-00016,가나,가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 공사,1,1,1,L2025-00018-1,L2025-00018-1,L2025-00018-1,L2025-00018-1,L2025-00018-1,A,A,V3_ORIGINAL_MANUAL,MATCH,2684.36,4333427.0,NOTICE_EXECUTION_CEILING,1614.3240846980284,품목·검증범위 산정,1,1,1,,,,,가격 있는 설계 BOQ 수량·단가·금액 수동검증,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00018&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00024,가나,"가나 관개지구 공사(아베이만, 아세이만 관개시설 토목공사 및 태양광,양수장 설치 공사)",1,1,0,,L2025-00019-1,L2025-00019-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00019&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2015-00012,네팔,네팔 기술교사 역량강화를 통한 기술직업교육훈련 질적 제고 사업 IT 강의동 시공업체 선정 현지 입찰,1,1,1,L2019-00010-1,L2019-00010-1,L2019-00010-1,,L2019-00010-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1549.83,1200000.0,NOTICE_EXECUTION_CEILING,774.2784692514663,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00010&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00114,네팔,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 아웃리치 센터 설계 및 감리업체 선정 현지입찰 계획,2,2,1,L2021-00029-1,L2021-00004-1;L2021-00029-1,L2021-00029-1,,L2021-00029-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1120.3,929600.0,CONSTRUCTION_BUDGET,829.7777381058645,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00029&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00139,네팔,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립사업” 모델 폴리텍 설계 및 감리업체 선정,2,2,1,L2022-00029-1,L2021-00013-1;L2022-00029-1,L2022-00029-1,,L2022-00029-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,5640.1,3744400.0,NOTICE_EXECUTION_CEILING,663.8889381393947,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00029&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00009,네팔,네팔 박타푸르 취약지역의 빈곤층 건강수준 향상을 위한 역량강화 및 의료인프라 개선사업,1,1,1,L2024-00031-1,L2024-00031-1,L2024-00031-1,,L2024-00031-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,5898.25,4653720.0,NOTICE_EXECUTION_CEILING,789.0001271563599,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00031&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00052,네팔,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출사업(23~29/980만불) 시공업체 선정,1,1,1,L2024-00079-1,L2024-00079-1,L2024-00079-1,,L2024-00079-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,4996.62,3534542.0,NOTICE_EXECUTION_CEILING,707.3865933370959,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00079&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00029,네팔,네팔 카트만두대학 둘리켈 캠퍼스 내 “네팔기술혁신센터 건립사업” 설계 및 감리업체 선정 현지입찰 계획(안),2,2,1,L2020-00003-1,L2019-00019-1;L2020-00003-1,L2020-00003-1,,L2020-00003-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,3117.0,2910000.0,NOTICE_EXECUTION_CEILING,933.5899903753609,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00003&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00141,네팔,네팔 경찰 역량강화를 위한 사이버안전국 설립사업 설계 및 감리업체 선정 현지입찰,1,1,0,,L2022-00006-1,L2022-00006-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,4563.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00006&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00070,도미니카,도미니카(공) 여성 중심 취약계층 사회경제적 역량강화사업 - 하이나 및 몬테크리스티 직업훈련센터 설계용역 입찰,7,6,1,L2024-00078-1,L2022-00059-1;L2023-00040-1;L2024-00078-1;L2025-00007-1;L2025-00007-2;L2025-00010-1;L2025-00038-1,L2024-00078-1,L2024-00078-1,L2024-00078-1,B-부분,B,V3_ORIGINAL_MANUAL,MATCH,936.2,1187000.0,NOTICE_EXECUTION_CEILING,1267.8914761803032,현지단가 결합 수량모델,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,몬테크리스티 직업훈련센터 899행 blank BOQ,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00078&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
