country_ko,country_best_project_grade,country_sample_sufficiency,candidate_project_count,grade_a_projects,grade_b_projects,grade_c_projects,screening_c_projects,unresolved_u_projects,direct_estimate_project_count,quantity_only_project_count,linked_bid_count,indexed_attachment_count,note
가나,A,가격사례 부족: 사업별 기준점만 가능,2,1,0,1,0,1,1,0,5,20,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
이라크,A,가격사례 부족: 사업별 기준점만 가능,2,1,1,0,0,0,1,1,7,175,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
도미니카공화국,B,수량사례만 있음: 현지단가 필요,1,0,1,0,0,0,0,1,7,94,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
볼리비아,B,수량사례만 있음: 현지단가 필요,6,0,1,5,0,5,0,1,13,194,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
우즈베키스탄,B,수량사례만 있음: 현지단가 필요,3,0,1,2,0,2,0,1,5,623,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
캄보디아,B,수량사례만 있음: 현지단가 필요,3,0,1,2,0,2,0,1,2,28,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
피지,B,수량사례만 있음: 현지단가 필요,2,0,1,1,0,1,0,1,7,48,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
DR콩고,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
과테말라,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
나이지리아,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,1,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
네팔,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,1,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
동티모르,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
모잠비크,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
몽골,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,2,6,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
미상,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
방글라데시,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
베트남,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,5,0,0,5,0,5,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
세네갈,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,5,0,0,5,0,5,0,0,8,24,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
솔로몬군도,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
알제리,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,1,1,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
