project_key,project_no,country_ko,representative_title,representative_construction_bid_title,grade,technical_status,grade_detail,price_stage,scope_status,verification_level,review_status,evidence_file,evidence_location,blocking_issue,next_action,verified_cost_amount,verified_cost_currency,verified_cost_per_gfa_m2,verified_item_note,candidate_record_count,linked_bid_count,linked_bid_nos,indexed_attachment_count,construction_attachment_count,unique_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,max_quantity_rows_detected,max_priced_rows_detected,scan_error_file_count,gross_floor_area_m2_values,direct_project_estimate_ready,needs_local_rates,only_screening_or_trace,sample_weight,claim_boundary
2016-00042,2016-00042,DR콩고,"DR콩고 국립박물관 건립사업('12-'20/2,100만불)...",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00089,2024-00089,DR콩고,DR콩고 북카탕가주 감염병 감시 역량 강화사업('24·'27/600만불),,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00016,2021-00016,가나,가나대학교 연구 및 ICT 혁신센터 건립 사업('21·'26/900만불),가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 공사,A,A,수동검증완료: 공사 입찰의 집행한도 예산서에서 주요 공종 BOQ 수량·GHS/USD 단가·금액 확인,DESIGN_ESTIMATE,FULL,V3,수동검증완료,L2025-00018-1/3. 집행한도금액 예산(안).xlsx,MAIN BUILDING!A3:H277 및 Grand Summary!A1:G18,설계예산이며 낙찰·계약·준공가 아님; 가격시점·세금·환율 재확인,계약·준공 금액 확보 후 설계예산 대비율 산정,4333426.767765368,USD,1666.70260298668,주건물 208행; 6개 시설시트 자동검출 합계 320행(수동 품목 정제 필요),3,3,L2025-00018-1;L2025-00048-1;L2025-00063-1,20,4,19,1,0,1,1,208,208,0,2600,1,0,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2017-07115,2017-07115,가나,우즈벡 페르가나 직업훈련원 건립사업('18-'22/983만불)  ...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2018-00015-1;L2019-00021-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:238,,과테말라,과테말라 경찰 치안역량 강화를 위한 경찰고등교육원 개선 사업('24·'29/800만불),,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2016-00021,2016-00021,나이지리아,"나이지리아 초중등시범학교단지 건립사업('13-'19/1,500만불)...",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2018-00009-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00053,2024-00053,네팔,네팔 간다키 지역 기술교육학교 건립사업(2024·2030/900만불) 사업수행용역자(PMC) 선정을 위한 입찰,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,3,1,L2025-00086-1,0,0,0,0,0,0,0,0,0,0,4631,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2020-00070,2020-00070,도미니카공화국,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업 몬테 크리스티 직업훈련센터 (MVC) 시공사 선정 현지입찰,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 시공사 선정,B,B-부분,수동검증완료: MVC 직업훈련센터 899행 blank BOQ에 수량은 있으나 단가·RD$/USD 금액은 공란,NONE,PARTIAL_BOUNDED,V3,수동검증완료,L2024-00078-1/Section 4_BOQ (BLANK sin PRICE)- MVC PROJECT_fin.xlsx,BOQ Code/Unit/Description/Quantity/Unit Cost/Total 표,몬테크리스티 시설 부분자료이며 현지 단가 부재,도미니카 현지단가 결합 및 하이나 시설과 범위 분리,,,,,5,7,L2022-00059-1;L2023-00040-1;L2024-00078-1;L2025-00007-1;L2025-00007-2;L2025-00010-1;L2025-00038-1,94,24,84,1,0,1,0,408,0,0,,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2016-00024,2016-00024,동티모르,동티모르 베코라 기술고등학교 지원사업 사후지원 사업수행용역(PMC) 수행자 선정 입찰,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00029,2013-00029,모잠비크,모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2026-00044,2026-00044,모잠비크,"모잠비크 마푸토 카템베 지역병원 건립사업('26-'30/1,340만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:277,,모잠비크,모잠비크 마푸투 주 초중통합학교 건립 및 역량강화 사업 PMC 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00018,2021-00018,몽골,몽골 철도교통관제센터 건립 및  운영 역량강화를 통한 철도교통 경쟁력 강...,몽골 철도교통관제센터(RTCC) 건립 시공 입찰,C,U,C3 첨부 문서추적: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2023-00050-1;L2023-00075-1,6,3,6,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
