bid_no,project_no,notice_date,price_year_decimal,country,region,facility_type,work_type,gross_floor_area_m2,cost_usd_nominal,direct_unit_usd_m2,unit_usd_m2_nominal,evidence_grade,area_basis,cost_stage,scope_caution,normalization_status,recommended_unit_rate,allowed_use,source_period,source_file,source_locator,source_url,evidence_summary
L2025-00099-1,2019-03655,2025-11-13,2025.8657534246574,Kyrgyzstan,Chuy,학교 위생시설,리모델링·개보수,255.52,200000.0,,782.7175954915466,B,대상 시설 합계,공사 입찰 집행한도,소규모 실내 개보수,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00099-1/KG-2025-11/KG-2025-11/Section 2 - Bid Data Sheet (영문)_WaSH.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00099&P_PBLANC_ODR=1,"대상 시설 합계 255.52㎡; 상세페이지 집행한도 USD 200,000; 산출단가 USD 783/㎡."
L2025-00097-1,2024-00105,2025-10-29,2025.8246575342466,Kyrgyzstan,Bishkek,ICT 교육센터,신축,1179,1704050,,1445.3350296861747,A,문서 명시 연면적,설계 ToR 공사예산 한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00097-1/붙임1. 공고내역 (KG-2025-10)/ENG - final/Section 2 - Bid Data Sheet (BDS).docx,표 5 행 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00097&P_PBLANC_ODR=1,"2층 GFA 1,179㎡, 공사예산 한도 USD 1,704,050(비상발전기 포함)."
L2025-00084-1,2022-00064,2025-09-29,2025.7424657534248,Uganda,Kampala,Makerere대 원격교육센터,신축,4040,4383000.0,,1084.90099009901,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00084-1/Section 2 - Bid Data Sheet (EN)_vr8.docx,표 4 행 9,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00084&P_PBLANC_ODR=1,"총연면적 4,040.00㎡; 상세페이지 집행한도 USD 4,383,000; 산출단가 USD 1,085/㎡."
L2025-00078-1,2023-00004,2025-09-26,2025.7342465753425,Bolivia,El Alto,모성보건시설 2개소,신축,1600,3226604,,2016.6275,B,문서 명시 연면적,예비조사 추정 건축공사비,공사비가 두 시설 합계라는 해석에 기반하므로 원문 재확인 필요.,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00078-1/1. 국문 입찰계획서.hwp,문단 14·16·80,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00078&P_PBLANC_ODR=1,"두 시설 연면적 1,080㎡와 520㎡, 추정 건축공사비 USD 3,226,604."
L2025-00051-2,2022-00076,2025-09-12,2025.695890410959,Fiji,Tamavua·Suva,국립재활센터,신축,2686.4,6767312.0,,2519.1006551518763,A,상세 공간계획 합계,공사 입찰 집행한도,동일 사업 설계단계 사례와 중복,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00038-1/2. 현지입찰 첨부문서 묶음/Addendum_No.1_Scope_of_the_services.docx,표 1 행 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00051&P_PBLANC_ODR=2,"상세 공간계획 합계 2,686.40㎡; 상세페이지 집행한도 USD 6,767,312; 산출단가 USD 2,519/㎡."
L2025-00073-1,2022-00027,2025-09-08,2025.6849315068494,Cambodia,Phnom Penh,국립소아병원,신축,9053,11277000.0,,1245.664420634044,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00073-1/(붙임1) 입찰공고문(국문).pdf,페이지 5,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00073&P_PBLANC_ODR=1,"총연면적 9,053.00㎡; 상세페이지 집행한도 USD 11,277,000; 산출단가 USD 1,246/㎡."
L2025-00071-1,2020-00119,2025-09-08,2025.6849315068494,Iraq,Baghdad,어린이 심장병원,신축,5486,13292831.0,,2423.0461173897193,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00071-1/붙임2. 현지입찰(재공고입찰) 서류 및 계약서류(안)/IKHCC Section 2 - Bid Data Sheet (ITB) (English)  250903_final.docx,표 2 행 7,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00071&P_PBLANC_ODR=1,"총연면적 5,486.00㎡; 상세페이지 집행한도 USD 13,292,831; 산출단가 USD 2,423/㎡."
L2025-00062-1,2021-00042,2025-08-06,2025.5945205479452,Uganda,미상,농업 시범농장 시설,신축·토목,2378.8,1123590.0,,472.33479065074823,C,동별 면적 합계,공사 입찰 집행한도,관개·외부공사 포함 패키지,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00062-1/1-2. 입찰공고문(영문)_시범농장 신축.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00062&P_PBLANC_ODR=1,"동별 면적 합계 2,378.80㎡; 상세페이지 집행한도 USD 1,123,590; 산출단가 USD 472/㎡."
L2025-00052-1,2023-00067,2025-07-04,2025.504109589041,Côte d’Ivoire,미상,PETROCI 교육시설,리모델링·개보수,1500,1963286.0,,1308.8573333333334,B,동일 사업 선행공고 연면적,공사 입찰 집행한도,다른 단계 공고 간 연결,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00056-2/Section 4 - Request for Proposal_코트디_ver.1.2_수정.docx,표 1 행 4,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00052&P_PBLANC_ODR=1,"동일 사업 선행공고 연면적 1,500.00㎡; 상세페이지 집행한도 USD 1,963,286; 산출단가 USD 1,309/㎡."
L2025-00047-1,2022-00598,2025-06-21,2025.468493150685,Pakistan,미상,섬유산업 교육센터,신축,1980,1964270.0,,992.0555555555555,B,동일 사업 감리공고 연면적,공사 입찰 집행한도,다른 단계 공고 간 연결,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00014-1/Section 2-Bid Data Sheet.docx,표 4 행 7,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00047&P_PBLANC_ODR=1,"동일 사업 감리공고 연면적 1,980.00㎡; 상세페이지 집행한도 USD 1,964,270; 산출단가 USD 992/㎡."
