국가,ISO3,검토사례수,공식후보_우선순위,공식후보_지수명,공식후보_제공기관,감사상태,공식후보_URL,현재선택_우선순위,현재선택_지수분류,현재선택_지수명,현재선택_제공기관,주기,실제관측값수,최초기간,최근기간,최근값상태,최근조회시각,현재선택_URL,자동사용_주의사항
Bangladesh,BGD,1,3,Building Materials Price Index (BMPI),Bangladesh Bureau of Statistics,공식 후보 확인·시계열 미적재,https://bbs.gov.bd/site/page/29b379ff-7bac-41d9-b321-e41929bab4a1,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Bolivia,BOL,3,1,Índice de Costo de la Construcción (ICC),Instituto Nacional de Estadística,공식 후보 확인·시계열 미적재,https://www.ine.gob.bo/index.php/estadisticas-economicas/construccion/indice-de-costo-de-la-construccio/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Cambodia,KHM,6,,,National Institute of Statistics,공개된 적격 건설지수 미확인,https://nis.gov.kh/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Côte d’Ivoire,CIV,1,2,Banque de Données des Prix de Référence—travaux,Direction Générale des Marchés Publics,공종 기준가격 후보·공개 시계열 미확인,https://bdpr.finances.gouv.ci/bdpr2023/accueil?p=presentation,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Dominican Republic,DOM,2,1,Índice de Costos Directos de la Construcción de Viviendas (ICDV),Oficina Nacional de Estadística,공식 후보 확인·주거 범위·시계열 미적재,https://www.one.gob.do/publicaciones/2026/indice-de-costos-directos-de-la-construccion-de-viviendas-icdv-diciembre-2025/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Ecuador,ECU,2,3,Índice de Precios de la Construcción (IPCO),Instituto Nacional de Estadística y Censos,공식 자재·장비 지수 확인·시계열 미적재,https://www.ecuadorencifras.gob.ec/indice-de-precios-de-la-construccion/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
El Salvador,SLV,2,,,Oficina Nacional de Estadística y Censos,공개된 적격 건설지수 미확인,https://onec.bcr.gob.sv/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Ethiopia,ETH,1,,,Ethiopian Statistics Service,공개된 적격 건설지수 미확인,https://ess.gov.et/price/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Fiji,FJI,3,3,Building Material Price Index (BMPI),Fiji Bureau of Statistics,실제 연간 시계열 적재,https://www.statsfiji.gov.fj/statistics/economic-statistics/prices/,3,construction_materials_ppi,All Items Building Material Price Index,Fiji Bureau of Statistics,annual,7,2019,2025,published,2026-07-30T00:00:00+09:00,https://www.statsfiji.gov.fj/statistics/economic-statistics/prices/,공식 상위지수 실제값 적재; 대상일 관측값 존재 여부를 실행 시 재확인
Ghana,GHA,1,1,Construction Producer Price Index (C-PPI),Ghana Statistical Service,공식 후보 확인·시계열 미적재,https://statsghana.gov.gh/gssmain/fileUpload/Industry/August_PPI_Construction.pdf,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Indonesia,IDN,3,3,Wholesale Price Index—Construction Materials,BPS-Statistics Indonesia,공식 후보 확인·기준연도 개편 연결 필요,https://www.bps.go.id/en/publication/2026/04/22/4b14ba643724ed678156917c/the-wholesale-price-indices-of-indonesia--2023-100--2025.html,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Iraq,IRQ,3,2,Construction materials prices and workers' wages,Central Statistical Organization,공식 구성요소 확인·BOQ 가중치 필요,https://www.cosit.gov.iq/ar/constr-stat/constr-pr,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Jordan,JOR,2,,,Department of Statistics,WPI는 확인했으나 적격 건설 하위지수 미확인,https://dosweb.dos.gov.jo/economic/price-indices/table-price-indices/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Kenya,KEN,1,1,Construction Input Price Index—Building Cost Index,Kenya National Bureau of Statistics,공식 후보 확인·분기 시계열 통합 필요,https://www.knbs.or.ke/button/construction-input-pi/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Kyrgyzstan,KGZ,5,,,National Statistical Committee,공개된 적격 건설지수 미확인,https://stat.gov.kg/en/statistics/ceny-i-tarify/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
Laos,LAO,3,,,Lao Statistics Bureau,공개된 적격 건설지수 미확인,https://www.lsb.gov.la/,,,,,,,,,,,,국가 공식 실제 시계열 미적재; 자동보정 불가
