source_dataset,source_record_id,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,contract_no,country_ko,is_uganda,record_title,record_scope,procurement_category,amount_currency,amount_value,amount_role,amount_boundary,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential,construction_reason,construction_keywords,official_record_url
annual_procurement_plan,15085055:91,2021-00042,official_report_title_containment,0.990,1,L2023-00028-1;L2024-00050-1;L2025-00062-1,,,우간다,1,"우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업('21·'28/1,200만불)",우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,공사,KRW,1573634700,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;강한건축어;시설어+공사어,신축;공사;연수원,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:31,2022-00064,existing_db_title_containment,0.990,1,L2024-00072-1;L2025-00084-1,,,우간다,1,"우간다 마케레레대학교 ICT 교육환경 조성사업('23·'28/1,220만불)","· 토공사, 건축공사, 구조공사, 전기공사, 기계공사, 부대토목공사 등",공사,KRW,6113400000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;강한건축어;시설어+공사어,건축공사;공사;구조공사;기계공사;전기공사;토목공사;대학;학교,https://www.data.go.kr/data/15085055/fileData.do
country_project_reports,15052832:654,2011-00051,source_direct,1.000,0,,,,우간다,1,우간다 과일가공공장 건립사업('11-'19/800만불)...,,,USD,8000000,whole_program_budget_from_title,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,,,,,0,강한건축어,건립;공장,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2011-00051
country_project_reports,15052832:653,2011-00052,source_direct,1.000,0,,,,우간다,1,우간다 농업지도자연수원 건립사업('11-'17/440만불)...,,,USD,4400000,whole_program_budget_from_title,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,,,,,0,강한건축어,건립;연수원,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2011-00052
country_project_reports,15052832:509,2015-00034,source_direct,1.000,0,,,,우간다,1,우간다 새마을운동 시범마을 건립사업('15-'18/295만불)...,,,USD,2950000,whole_program_budget_from_title,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,,,,,0,강한건축어,건립,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2015-00034
country_project_reports,15052832:664,2011-00024,source_direct,1.000,0,,,,우간다,1,우간다 직업훈련원 건립사업('11-'18/579만불)...,,,USD,5790000,whole_program_budget_from_title,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,,,,,0,강한건축어,건립;훈련원,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2011-00024
aid_procurement_contracts,15073135:83,2023-00098,official_report_title_containment,0.990,0,,,M2026-00184,몽골,0,몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업 시스템 구축 감리 용역,첨부파일 참조,용역,WON,233459000,contract_amount,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,,,,,0,시설어+설계감리어,시설;감리,https://www.data.go.kr/data/15073135/fileData.do
aid_procurement_contracts,15073135:42,,,0.432,0,,,P2025-00159,우즈베키스탄,0,우즈베키스탄 유아교사 역량강화 및 유아교육진흥센터 건립사업 유아체험관 체험시설 설계 및 제작설치,"사업수행계획서, 기술협상 결과 및 제안요청서 등에 의함",용역,WON,2361000000,contract_amount,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,,,,,0,강한건축어;시설어+설계감리어,건립;센터;시설;설계,https://www.data.go.kr/data/15073135/fileData.do
aid_procurement_contracts,15073135:43,,,0.432,0,,,P2025-00159,우즈베키스탄,0,우즈베키스탄 유아교사 역량강화 및 유아교육진흥센터 건립사업 유아체험관 체험시설 설계 및 제작설치,"사업수행계획서, 기술협상 결과 및 제안요청서 등에 의함",용역,WON,2361000000,contract_amount,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,,,,,0,강한건축어;시설어+설계감리어,건립;센터;시설;설계,https://www.data.go.kr/data/15073135/fileData.do
annual_procurement_plan,15085055:80,2024-00089,official_report_title_containment,0.990,0,,,,DR콩고,0,DR콩고 북카탕가주 감염병 감시 역량 강화사업('24·'27/600만불),"ㅇ 주립실험실 정도관리 SOP 개발 ㅇ 역량강화 (초청연수, 현지연수 등)ㅇ 주립실험실 기자재 선정 지원ㅇ 일반후송병원 실험실 신, 증축 위한 건축 계획 수립 및 PC 모니터링ㅇ사업관리(성과, 모니터링, 산출물 품질관리)ㅇ예비비 등",용역,KRW,4469103960,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어,증축;병원;실험실,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:153,2021-00016,official_report_title_containment,0.990,1,L2025-00018-1;L2025-00048-1;L2025-00063-1,,,가나,0,가나대학교 연구 및 ICT 혁신센터 건립 사업('21·'26/900만불),"가나대학교 한·가나 연구 및 ICT 혁신센터(G·K Impact 센터) 신축, 연면적 약 2,600 ㎡",공사,KRW,5382000000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,2600,2600,explicit_gross_floor_area,2070000,1,입찰구분=공사+시설어;강한건축어,건립;신축;대학;센터;학교,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:263,2021-00016,official_report_title_containment,0.990,1,L2025-00018-1;L2025-00048-1;L2025-00063-1,,,가나,0,가나대학교 연구 및 ICT 혁신센터 건립 사업(21·26/900만불) 건축 감리 용역,G·K Impact 센터 건축 감리,용역,KRW,285977400,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어;시설어+설계감리어,건립;대학;센터;학교;감리,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:238,,,0.792,0,,,,과테말라,0,과테말라 경찰 치안역량 강화를 위한 경찰고등교육원 개선 사업('24·'29/800만불),"ㅇ 사업내용 : △ 경찰 고등교육 전문인력 역량강화, △ 경찰고등교육원 신축 및 교육 기자재 지원, △경찰 고등교육 인식개선 및 성과홍보ㅇ 과업범위 : 프로젝트 사업 전반 관리 및 성과관리, PC 발주 지원 및 관리 등",용역,KRW,2623272769,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어,신축;교육원,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:209,,,0.412,0,,,,네팔,0,네팔 간다키 지역 기술교육학교 건립사업(2024·2030/900만불) 사업수행용역자(PMC) 선정을 위한 입찰,"ㅇ Gandaki Institute of Technology(이하 GIT) 교육과정 및 교재개발  ㅇ 관리자 및 교사 역량강화를 위한 초청연수, 현지연수, 역량강화 자문  ㅇ 기술교육학교 운영 위한 마스터플랜 수립 및 시범운영  ㅇ 실습환경 구축지원/기자재    · 기자재 구성 검토, 가격조사 및 세부사양서 작성    · 기자재 공급업체 발주를 위한 입찰제안 요청서 등 관련 문서 작성 지원     · 기자재 국내검수 및/국외 검수 지원, 기자재 설치 지원    · 기자재 활용 교육 실시 및 자문  ㅇ 건축 관련 스페이스프로그램 검토 및 자문  ㅇ Project 운영위원회 구성 및 운영, 사업홍보, 성과관리 등 사업관리",용역,KRW,2888600215,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어,건립;학교,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:144,,,0.554,0,,,,네팔,0,네팔 간다키 지역 기술교육학교 건립사업(2024·2030/900만불) 설계감리사 용역 선정을 위한 입찰,"1. 과업 : 약 8헥타르 면적의 부지에 자동차학과동/호텔관리학과동/전기학과동/기술교육학교 행정동/여학생 기숙사를 건축하기 위한 건축연면적 4,631㎡ 규모의 건축 설계, 측량/지질조사/구조/토목/전기/위생/급배수/기계/통신/소방/조경/Sinage 및 울타리 조사, 현장 상주 감리, 건축 인허가 지원 2. 결과물: 측량 및 지질조사 성과물, 도면, 시방서, BOQ, 구조계산서, 기계용량 계산서, 전기용량 계산서 등 공사에 필요한 제반도서 및 시공사 선정을 위한 입찰 관련 서류 등",용역,KRW,327060000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,4631,4631,explicit_gross_floor_area,,0,강한건축어;시설어+공사어;시설어+설계감리어,건립;공사;시공;기숙사;학교;감리;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:103,,,0.298,0,,,,도미니카공화국,0,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,"ㅇ 건축, 인테리어, 구조, 기계, 전기, 통신, 소방, 토목, 조경, Signage, 부대시설 등 일괄공사에 대한 감리ㅇ 시청으로부터 건축허가사항 및 공사를 위한 관련 정부기관 승인 입수, 건물 준공승인 취득을 위한 관련 업무 협조ㅇ 시공단계 검측 ㅇ 시공사 제출서류 검토 및 보고  · 시공사 착공보고서, 자재선정 요청서, 공정현황 보고서, 설계변경 보고서  · 설계도서 오류, 누락, 하자 등에 대한 보고서  · 현장시공 상세도(Shop Drawings)   · 공사와 관련한 기성 및 각종 제반 안전관리 및 사용내역 등ㅇ 예비/준공 검사 실시 및 준공서류 검토   · As·Built Drawing 및 Operation  Maintenance Manual 등ㅇ 준공 후 하자현황 및 하자처리 현황 점검 및 보고",용역,KRW,130934400,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,공사;시공;건물;센터;시설;감리;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:325,,,0.405,0,,,,도미니카공화국,0,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업 몬테 크리스티 직업훈련센터 (MVC) 시공사 선정 현지입찰,"몬테크리스티 직업훈련센터 공사(건축, 인테리어, 구조, 기계, 전기, 통신, 소방, 토목, 조경, Signage, 부대시설 등 일괄 시공)",공사,KRW,1543100000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;시설어+공사어,공사;시공;센터;시설,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:186,,,0.385,0,,,,도미니카공화국,0,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업(20·26/550만불) 2차 PMC 용역,"ㅇ CSC(직업훈련센터) 건축 설계 및 시공·기자재 조달 지원    ㅇ 취창업 프로그램 운영 지원 및 수원기관 운영 사항 모니터링    ㅇ 성평등 강화 네트워크 활동 운영    ㅇ 사업관리(성과, 모니터링, 홍보)",용역,KRW,1949677819,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,시공;센터;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:170,,,0.308,0,,,,도미니카공화국,0,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업(20·26/550만불) 몬테크리스티 직업훈련센터(MVC) 감리사 선정,"ㅇ 건축, 인테리어, 구조, 기계, 전기, 통신, 소방, 토목, 조경, Signage, 부대시설 등 일괄공사에 대한 감리ㅇ 시청으로부터 건축허가사항 및 공사를 위한 관련 정부기관 승인 입수, 건물 준공승인 취득을 위한 관련 업무 협조ㅇ 시공단계 검측 ㅇ 시공사 제출서류 검토 및 보고ㅇ 예비/준공 검사 실시 및 준공서류 검토 ㅇ 준공 후 하자현황 및 하자처리 현황 점검 및 보고",용역,KRW,114678000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,공사;시공;건물;센터;시설;감리,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:156,,,0.368,0,,,,도미니카공화국,0,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업(20·26/550만불) 하이나 직업훈련센터 리모델링 설계 용역,"리모델링 건축설계, 관련 인허가 업무, 공사기간 중 설계 자문",용역,KRW,123906060,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어;시설어+공사어;시설어+설계감리어,리모델링;공사;센터;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:218,2016-00024,official_report_title_containment,0.990,0,,,,동티모르,0,동티모르 베코라 기술고등학교 지원사업 사후지원 사업수행용역(PMC) 수행자 선정 입찰,"ㅇ (학교운영관리 자문)    · 학교운영관리 매뉴얼 개발 및 자문    · 기자재 관리 매뉴얼 개발 및 자문    · 취업관리 매뉴얼개발 및 자문  ㅇ (관리자 및 교사 역량강화)    · 교육부 공무원 및 학교관리자 초청연수    · 학교 3개 공과 훈련교사 초청연수    · 3개 공과 기자재 활용 교육 및 관리방법 자문  ㅇ (실습환경 구축지원/기자재 지원)     · 3개 공과 기존 고장 기자재 수리 및 응급조치 전수     · 지원 기자재 공급 업체 발주를 위한 입찰 제안 요청서 등 관련 문서 작성 지원     · 지원 기자재 국내검수 및 국외 검수 지원, 기자재 설치 지원    · 지원 기자재 활용 교육 실시 및 자문  ㅇ (실습환경 구축지원/시설보수)     · 식당 건물 전기공사 보수    · 기계과 CNC살 칸막이 및 에어컨 설치    · 건축과 실습실 지붕 보수   ㅇ (사업관리)     · 사후지원사업 관계자 회의 참석 등을 통한 사업관리    · 각종 홍보물 (리플렛, SNS게시물 등)제작을 통한 사업홍보    · 현장 모니터링 실시 (반기/연차 보고서 제출)",용역,KRW,1011468240,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어,공사;전기공사;건물;시설;학교,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:331,2013-00029,official_report_title_containment,0.990,0,,,,모잠비크,0,모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,"교실 복도 전선 및 전등 수리, 공과 실습실 시건장치 설치, 공과 실습재료 보관실 보안창 설치, 공과 실습실 등 유리창 보수, 정문 경비실 리모델링, 공과 실습실 지붕 수리, 화장실 시설 수리, 변압기 시설 단열 지붕 설치, 급수탱크 펜스 설치, 급수 시스템, 외벽 페인팅, 행정실 벽 수리",공사,KRW,338961479,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;강한건축어;시설어+공사어,리모델링;공사;시설;학교,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:277,,,0.578,0,,,,모잠비크,0,모잠비크 마푸투 주 초중통합학교 건립 및 역량강화 사업 PMC 용역,· 초중통합학교 신축 및 증축 지원  · 초중통합학교 교사 역량강화  · 초중통합학교 운영체계 개선  · 보건위생 교육 및 인식제고 캠페인  · 사업관리 및 성과관리,용역,KRW,5649294815,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,강한건축어,건립;신축;증축;학교,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:284,2023-00098,official_report_title_containment,0.990,0,,,,몽골,0,몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업 시스템 구축 감리 용역,· 자동차 관리시스템 등 구축 감리,용역,KRW,256364652,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+설계감리어,시설;감리,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:76,2023-00098,official_report_title_containment,0.990,0,,,,몽골,0,"몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업('23·'27/1,300만불)",몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업 검사소 시설개선 시공 용역,공사,KRW,590000000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;시설어+공사어,시공;시설,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:168,,,0.414,0,,,,방글라데시,0,"방글라데시 선진시장형 기술인력 양성을 위한 차토그램 한방직업훈련원 직업훈련체계 현대화('24·'27/1,000만불)",ㅇ 설계 계획안ㅇ 기본설계 및 실시설계ㅇ 시공 입찰지원ㅇ 시공감리,용역,KRW,618030400,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,시공;시설;훈련원;감리;기본설계;설계;실시설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:289,,,0.366,0,,,,베트남,0,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 감리 용역",시설 전체 건축/토목 시공 현지 감리,용역,KRW,33116850,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,시공;시설;감리,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:291,,,0.342,0,,,,베트남,0,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 건축 및 토목 시공 용역","퇴비화시설, 재활용 선별시설 설치, 관리동 등 시설 전체 건축물 및 폐수처리장, 야적장 등 건축 및 토목 시공",공사,KRW,1914015100,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;시설어+공사어,시공;시설,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:290,,,0.366,0,,,,베트남,0,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 시공 용역","퇴비화시설, 재활용 선별시설 설치를 위한 설계 및 기자재 제작 및 시공, 운영매뉴얼 작성 및 운영자 교육 실시",용역,KRW,6407261416,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+공사어;시설어+설계감리어,시공;시설;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:150,2022-00097,official_report_title_containment,0.990,0,,,,베트남,0,베트남 한베 ICT 대학교 교육역량 강화 지원사업 스마트 캠퍼스 구축 물품(소프트웨어) 현지구매 계약,"총 9종의 소프트웨어 공급 · 가상화 소프트웨어, 백업 소프트웨어, 운영체제(OS), 동영상 편집 소프트웨어, 스마트 클래스 소프트웨어 (교수자용 및 학생용), IC 칩 설계 소프트웨어 포함 총 9종",물품,KRW,498235600,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+설계감리어,대학;학교;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:193,,,0.609,0,,,,베트남,0,베트남 후에시 문화관광 스마트시티 조성 지원사업의 다비엔섬 스마트 복합문화공간 및 보행교량 건축시공,"다비엔섬 복합문화공간 시공(취수장시설의 리모델링을 통해 조성되는 복합문화공간, 다비엔섬과 향강 남측 연안을 연결하는 보행전용교량 1개소)· 복합문화공간 외부 사이니지 포함",공사,KRW,9455900000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;강한건축어;시설어+공사어,리모델링;시공;시설,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:261,,,0.393,0,,,,볼리비아,0,볼리비아 감자생산 선진화를 위한 스마트팜 적용 시범사업 현지 설계사,"ㅇ 추키사카 주 : 추키사카 씨감자 교육 및 훈련센터, 조직배양연구소, 저온저장고, 부대시설(경비실, 팬스 등)ㅇ 코차밤바 주 : 교육관",용역,KRW,120336000,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,시설어+설계감리어,센터;시설;연구소;설계,https://www.data.go.kr/data/15085055/fileData.do
annual_procurement_plan,15085055:159,2013-00064,existing_db_title_containment,0.990,1,L2021-00005-1;L2023-00012-1;L2023-00015-1;L2023-00031-1;L2023-00031-2;L2025-00012-1;L2025-00012-2,,,볼리비아,0,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰,"1) 경계 및 지형측량, 지반조사2) 건설에 필요한 건축, 인테리어, 구조, 기계, 전기, Signage, 부대 시설 등 일괄 시설 공사 시공3) 기반 시설 연결 공사",공사,KRW,136556520,planned_bid_ceiling,발주계획 입찰한도액; 계획 변경 가능,,,,,0,입찰구분=공사+시설어;강한건축어;시설어+공사어,건립;공사;시공;센터;시설;연구센터,https://www.data.go.kr/data/15085055/fileData.do
