source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,country_ko,is_uganda,project_title,start_year,end_year,project_summary_url,program_budget_usd_from_title,amount_boundary,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15052832:1,1,15052832,https://www.data.go.kr/data/15052832/fileData.do,2025-00066,2025-00066,source_direct,1.000,0,,,,스리랑카,0,"스리랑카 시기리야 세계유산의 역사관광 자원화를 위한 복원 및 환경 개선 사업('25-'29/1,000만불)",2025,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2025-00066,10000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:2,2,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00144,2024-00144,source_direct,1.000,0,,,,튀니지,0,튀니지 전자참여 확대 및 부패방지를 위한 시스템(국민신문고) 고도화 사업('24-'28/600만불),2024,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00144,6000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:3,3,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00138,2024-00138,source_direct,1.000,0,,,,우즈베키스탄,0,우즈베키스탄 지질재해와 지질자원 통합관리시스템 구축사업('24-'29/700만불),2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00138,7000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:4,4,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00133,2024-00133,source_direct,1.000,0,,,,몽골,0,"몽골 날라흐구 폐광산지역 지속가능한 생태환경 조성을 통한 녹색 산업 혁신 생태계 구축사업('24-'29/1,000만불)",2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00133,10000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:5,5,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00115,2024-00115,source_direct,1.000,0,,,,키르기스스탄,0,"키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 ('24-'27/1,100만불)",2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00115,11000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:6,6,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00105,2024-00105,source_direct,1.000,1,L2025-00097-1,,,키르기스스탄,0,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업('24-'27/700만불),2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00105,7000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:7,7,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00096,2024-00096,source_direct,1.000,0,,,,네팔,0,네팔 버르디야 지역 포용적 농촌공동체 개발사업('24-'29/800만불),2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00096,8000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:8,8,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00089,2024-00089,source_direct,1.000,0,,,,DR콩고,0,DR콩고 북카탕가주 감염병 감시 역량 강화사업('24-'27/600만불),2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00089,6000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,,,,,,0
15052832:9,9,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00053,2024-00053,source_direct,1.000,1,L2025-00086-1,,,네팔,0,네팔 Province4 직업교육학교 건립사업('24-'30/900만불),2024,2030,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00053,9000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,1,강한건축어,건립;학교,,,,,0
15052832:10,10,15052832,https://www.data.go.kr/data/15052832/fileData.do,2024-00029,2024-00029,source_direct,1.000,1,L2025-00060-1,,,코트디부아르,0,"코트디부아르 지역균형발전을 위한 중부지역 직업전문학교 역량강화사업('24-'29/1,100만불)",2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00029,11000000,사업명에 표시된 KOICA 전체 사업예산; 건축공사비 아님,0,,학교,,,,,0
