source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,department,country_ko,is_uganda,procurement_title,sector,procurement_category,scope,ceiling_krw,amount_boundary,contract_method,selection_method,planned_issue_date,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15085055:1,1,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2025-00099,existing_db_title_containment,0.990,1,L2025-00108-1,,,알제리사무소,알제리,0,알제리 경찰청 과학수사역량강화사업 과학실험실 실시설계 감리 용역,행정제도,용역,경찰청 과학수사국 건물 내 실험실 리노베이션 실시설계 면적 약 900m2,35000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-12,1,강한건축어;시설어+설계감리어,리노베이션;건물;시설;실험실;감리;설계;실시설계,900,900,single_unlabelled_area,,0
15085055:2,2,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.679,0,,,,필리핀사무소,필리핀,0,필리핀 기마라스주 수산양식역량강화 사업 차량 구매,농촌개발,물품,"차량 2대(SUV 1대, Van 1대)",99999999,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:3,3,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00008,official_report_title_containment,0.990,1,L2025-00056-1,,,캄보디아사무소,캄보디아,0,캄보디아 ICT 분야 직업기술훈련 역량강화 및 교육훈련 환경구축 사업('23·'27/800만불),교육,물품,"캄보디아 직업훈련기관(TVET기관) ICT Lab에서 사용할 IT 기자재 29종 5,023품목 공급 및 설치· 지정된 납품 장소까지 기자재 운송· 지정된 납품 장소에 기자재 설치· 기자재 매뉴얼(영문 및 크메르어) 제공· 사용자 대상 운용교육 실시· 2년간 하자보수",3182872864,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:4,4,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00008,official_report_title_containment,0.990,1,L2025-00056-1,,,캄보디아사무소,캄보디아,0,캄보디아 ICT 분야 직업기술훈련 역량강화 및 교육훈련 환경구축 사업('23·'27/800만불),교육,물품,"캄보디아 직업훈련기관(TVET기관) ICT Lab에서 사용할 사무 기자재 10종 2,280품목 공급 및 설치· 지정된 납품 장소까지 기자재 운송· 지정된 납품 장소에 기자재 설치· 기자재 매뉴얼(영문 및 크메르어) 제공· 사용자 대상 운용교육 실시· 2년간 하자보수",456774861,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:5,5,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00156,existing_db_title_containment,0.990,1,L2024-00052-1;L2025-00079-1,,,인도네시아사무소,인도네시아,0,"인도네시아 보고르대학교 농업생명과학연구센터 역량강화 사업('21·'28/1,100만불)",교육,용역,MOOC 시스템 개발 및 관련 기자재 설치,1195080000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-12,0,,대학;센터;연구센터;학교,,,,,0
15085055:6,6,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2019-03655,existing_db_title_fuzzy,0.904,1,L2025-00099-1,,,키르기스스탄사무소,키르기스스탄,0,키르기스스탄 추이 주 교내 위생환경 개선사업 리모델링 시공업체 선정 현지입찰,보건의료,공사,"시공범위 : 추이 주 가브릴로브카 종합학교, 보옌노·안토노브카 종합학교 리모델링 1.화장실, 보건실, 샤워실, 교내 식당 리모델링, 난방, 환풍 및 공기조화(HVAC), 전반적인 전선 배치 포함한 시공 과정에서 필수로 수반되는 인프라 시공 2. 착공부터 준공까지의 과정에서 필요한 인허가 및 민사 소송 관련 업무 포함  3. 준공도면 및운영·유지관리 매뉴얼 작성  계약기간 : 계약체결일로부터 120일 (계약체결일로부터 14일 이내 착공)",276333603,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,1,입찰구분=공사+시설어;강한건축어;시설어+공사어,리모델링;시공;학교,,,,,0
15085055:7,7,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.235,0,,,,긴급대응팀,우크라이나,0,2025년도 우크라이나 인도적 현물지원(C·arm X·ray) 제조업체 선정,재난구호,물품,"C·arm X·ray (25 set) 공급, 현지 설치/교육, 사후관리",2799000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:8,8,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.311,0,,,,긴급대응팀,우크라이나,0,2025년 對우크라이나 인도적 현물지원 기자재(픽업트럭) 제조,기타,물품,2025년 對우크라이나 인도적 현물지원 기자재(픽업트럭) 제조 / 400대,12769901200,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:9,9,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.250,0,,,,긴급대응팀,우크라이나,0,2025년도 우크라이나 인도적 현물지원(궤도형도저) 제조업체 선정,재난구호,물품,궤도불도더(20ea) 공급 및 사후관리,5535000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:10,10,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.281,0,,,,긴급대응팀,우크라이나,0,2025년도 우크라이나 인도적 현물지원(궤도형 굴착기) 공급업체 선정,재난구호,물품,"ㅇ 건설중장비(궤도형 굴착기 25대) 납품ㅇ 현지 교육 및 시범운영, 사후유지관리 등",6860000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:11,11,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.254,0,,,,긴급대응팀,우크라이나,0,2025년도 우크라이나 인도적 현물지원(차륜형 로더) 공급업체 선정,재난구호,물품,"ㅇ 건설중장비(차륜형 로더 20대) 납품ㅇ 현지 교육 및 시범운영, 사후유지관리 등",6840000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-11,0,,,,,,,0
15085055:12,12,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2013-00029,official_report_title_containment,0.990,0,,,,아프리카1팀,모잠비크,0,모잠비크 마톨라 산업학교 역량강화 사업 사후지원 컴퓨터 부품 구매,교육,물품,컴퓨터 부품 일체 구매,4950000,발주계획 입찰한도액; 계획 변경 가능,승낙사항,최저가,2025-10,0,,학교,,,,,0
15085055:13,13,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.400,0,,,,에티오피아사무소,에티오피아,0,"에티오피아 낙농가치사슬 및 이해관계자 역량강화를 통한 유제품 품질개선사업(23·28/1,000만불)  유두 소독제 공급",농촌개발,물품,"ㅇ 계약 체결을 위한 낙찰자 서류검토 및 계약 준비ㅇ 기자재 납품계획 수립 및 KOICA 지정 물류업체에 전달ㅇ 납품 기자재 최종 세부사양, 검수신청내역 등ㅇ 기타 기자재 지원 관련 행정업무ㅇ 사후관리방안 수립 및 고장 발생 시 대책 제시 등 · 기자재 공급업체/주에티오피아 대사관 및 수원기관 간 공식 연락망 구축ㅇ 전략물자 확인 및 신고(허가) 관련 서류, 통관 서류 일체",46690875,발주계획 입찰한도액; 계획 변경 가능,제한경쟁,적격심사,2025-11,0,,,,,,,0
15085055:14,14,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.593,0,,,,유라시아팀,키르기스스탄,0,"키르기스스탄 대기질 개선사업('25·'28/1,000만불)",환경및기타,용역,"키르기스스탄 대기질 개선사업('25·'28/1,000만불) PMC 용역",3688947391,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-11,0,,,,,,,0
15085055:15,15,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2025-00178,official_report_title_fuzzy,0.881,0,,,,콜롬비아사무소,콜롬비아,0,콜롬비아 반부패 포털(PACO) 고도화를 통한 투명성 강화 사업 PMC 용역,행정제도,용역,"1) 반부패포털 (PACO II) 중장기 로드맵 및 BPR/ISP 수립 2) 반부패포털 (PACO II) 시스템 구축 지원 3) 공무원 대상 반부패 인식 및 행정서비스 역량강화 활동4) 대국민 대상 반부패 인식 제고 활동 지원 5) 사업관리(사업 모니터링, 성과관리, 홍보 등)",3640493994,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-11,0,,,,,,,0
15085055:16,16,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00003,official_report_title_containment,0.990,1,L2025-00080-1;L2025-00106-1;L2025-00107-1,,,세네갈사무소,세네갈,0,세네갈 국가공중보건 실험실 역량강화사업(22·26/600만불) 실험실 리모델링 시공 감리 용역,보건의료,용역,ㅇ 리모델링 시공 용역 감리,27462000,발주계획 입찰한도액; 계획 변경 가능,수의계약,,2025-10,1,강한건축어;시설어+공사어;시설어+설계감리어,리모델링;시공;실험실;감리,,,,,0
15085055:17,17,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00003,official_report_title_containment,0.990,1,L2025-00080-1;L2025-00106-1;L2025-00107-1,,,세네갈사무소,세네갈,0,세네갈 국가공중보건 실험실 역량강화사업(22·26/600만불) 실험실 기자재 공급 및 설치,보건의료,물품,"ㅇ기자재 (104종 425점) 납품, 설치, 교육, 사후관리",1395379328,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-10,0,,실험실,,,,,0
15085055:18,18,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2020-00048,official_report_title_containment,0.990,1,L2024-00062-1;L2024-00062-2;L2024-00062-3;L2025-00021-1,,,세네갈사무소,세네갈,0,"세네갈 미곡가치사슬 강화 2차 사업('20·'26/1,100만불)",농촌개발,물품,ㅇ농업용 기자재 4종 8대 납품  · 트랙터 3대  · 콤바인 1대  · 오프셋 3대  · 트럭 1대,454791420,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-09,0,,,,,,,0
15085055:19,19,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00084,existing_db_title_containment,0.990,1,L2025-00090-1;L2025-00090-2,,,인도네시아사무소,인도네시아,0,"인도네시아 재난대응 공공의료 훈련 역량강화사업('22·'28/1,200만불)",보건의료,용역,"연면적 2,400.m2 규모 지상2층 교육훈련센터 설계",200100000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-10,1,시설어+설계감리어,센터;설계,,,,,0
15085055:20,20,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00161,official_report_title_containment,0.990,0,,,,알제리사무소,알제리,0,알제리 전자무역을 위한 싱글윈도우 구축 사업('21·'25/750만불),행정제도,물품,관세청에 복합기 102대 공급,67500000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,최저가,2025-09,0,,,,,,,0
15085055:21,21,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.382,0,,,,에티오피아사무소,에티오피아,0,"에티오피아 낙농가치사슬 및 이해관계자 역량강화를 통한 유제품 품질 개선사업(23·28/1,000만불) 사료배합기 제조 및 설치",농촌개발,물품,"ㅇ 계약 체결을 위한 낙찰자 서류검토 및 계약 준비ㅇ 기자재 납품계획 수립 및 KOICA 지정 물류업체에 전달ㅇ 납품 기자재 최종 세부사양, 검수신청내역 등ㅇ 기타 기자재 지원 관련 행정업무ㅇ 전략물자 확인 및 신고(허가) 관련 서류, 통관 서류 일체ㅇ 전문가 파견에 따른 기자재 설치 / 검수/ 교육  : 기자재 설치 및 현지 사용자 교육 실시  : 현지 설치 대상지에서 작동여부 검수  ㅇ 사후관리방안 수립 및 현지 유지보수방안 제시 등 : 기자재 공급업체 / 현지유지관리자 / KOICA 에티오피아 사무소 간 공식 연락망 구축",189576164,발주계획 입찰한도액; 계획 변경 가능,제한경쟁,적격심사,2025-10,0,,,,,,,0
