source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,contract_no,amendment_sequence,new_or_amended,country_ko,is_uganda,contract_title,procurement_program,procurement_category,contract_type,contract_method,contract_date,currency,contract_amount,scope,amount_changed,period_changed,scope_changed,contract_start_date,contract_end_date,requesting_department,contractors,estimated_price,note,amount_boundary,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15073135:1,1,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2023-00005,official_report_title_containment,0.990,0,,,,P2026-00011,1,신규,모로코,0,모로코 마라케시 친환경 전기버스 교통체계 구축사업 친환경 전기버스 및 기자재 공급,원조조달입찰,물품,입찰,일반경쟁,2026-05-20,WON,9132081675,"사업수행계획서, 제안요청서, 기자재 사양서, 기술협상결과서, 계약금액내역서 등에 의함",,,,2026-05-20,2026-12-31,아프리카2팀,현대코퍼레이션 주식회사,9596902744,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:2,2,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.512,0,,,,P2026-00010,1,신규,베트남,0,"베트남 법원 아카데미 디지털 혁신 기술 기반 역량강화사업(2024-2028/1,470만불) PMC 용역",원조조달입찰,용역,수의계약,수의계약,2026-04-24,WON,2910000000,"제안요청서, 사업수행계획서, 기술협상결과서 등에 의함",,,,2026-04-24,2028-12-31,동남아시아1팀,"경희대학교 산학협력단, 주식회사 엠씨미디어솔루션",,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:3,3,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.536,0,,,,P2026-00009,1,신규,팔레스타인,0,팔레스타인 디지털 전환을 위한 혁신기술 RnD 역량강화사업 PMC 용역,원조조달입찰,용역,입찰,일반경쟁,2026-03-11,WON,13206960815,"제안요청서, 사업수행계획서, 기술협상결과서 등에 의함",,,,2026-03-11,2031-12-31,중동팀,국민대학교산학협력단,15356931180,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:4,4,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.253,0,,,,P2026-00008,1,신규,,0,(장기계속/1차)2026~2027 이노포트(국제개발형 임팩트 유니콘 기업 보육·육성) 프로그램 기획 및 운영 용역,원조조달입찰,용역,입찰,일반경쟁,2026-02-20,WON,674300000,"제안요청서, 기술협상결과통보서, 평가수행계획서에 의함",,,,2026-02-20,2026-12-31,기업협력사업팀,씨엔티테크(주),1498530994,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:5,5,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2021-00111,official_report_title_containment,0.990,1,L2022-00036-1;L2024-00049-1;L2024-00049-2;L2024-00054-1;L2024-00054-2,,,P2026-00007,1,신규,엘살바도르,0,(장기계속/3차)엘살바도르 ITCA 공학교육역량 강화사업 기자재 지원 공급업체 선정,원조조달입찰,물품,입찰,일반경쟁,2026-02-13,WON,67961784,세부사양서 및 투찰내역서 참조,,,,2026-01-01,2026-06-30,중미·카리브팀,주식회사 가을디에스,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,학교,,,,,0
15073135:6,6,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2021-00111,official_report_title_containment,0.990,1,L2022-00036-1;L2024-00049-1;L2024-00049-2;L2024-00054-1;L2024-00054-2,,,P2026-00007,2,변경,엘살바도르,0,(장기계속/3차)엘살바도르 ITCA 공학교육역량 강화사업 기자재 지원 공급업체 선정,원조조달입찰,물품,변경계약,일반경쟁,2026-06-18,WON,67961784,세부사양서 및 투찰내역서 참조,,Y,,2026-01-01,2026-12-31,중미·카리브팀,주식회사 가을디에스,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,학교,,,,,0
15073135:7,7,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.368,0,,,,P2026-00006,1,신규,라오스,0,라오스 버리캄싸이주 상수도 확충 및 개선사업 (2025-2029/600만불) PMC 용역,원조조달입찰,용역,입찰,일반경쟁,2026-02-06,WON,2180410000,"계약서, 사업수행계획서, 제안요청서 등에 따름.",,,,2026-02-06,2029-10-31,동남아시아1팀,"주식회사 이산, 주식회사 건화",2259441595,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:8,8,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2025-00157,official_report_title_containment,0.990,0,,,,P2026-00005,1,신규,,0,자메이카 토지행정 역량강화사업 PMC 용역,원조조달입찰,용역,수의계약,수의계약,2026-01-30,WON,7160000000,"사업수행계획서, 기술협상 결과 및 제안요청서 등에 의함",,,,2026-01-30,2031-03-31,중미·카리브팀,"한국국토정보공사, 서울시립대학교 산학협력단, 주식회사 한국아이티컨설팅",,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:9,9,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.500,0,,,,P2026-00004,1,신규,키르기스스탄,0,키르기스스탄 대기질 개선사업 PMC 용역,원조조달입찰,용역,입찰,일반경쟁,2026-01-19,WON,3456543705,"사업수행계획서, 기술협상 결과 및 제안요청서 등에 의함",,,,2026-01-19,2028-12-31,유라시아팀,"한국산업기술시험원, 아이씨티웨이 주식회사",3688947391,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:10,10,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.377,0,,,,P2026-00003,1,신규,우즈베키스탄,0,우즈베키스탄 시뮬레이션 기반 훈련시설 운전시뮬레이터 개발 및 공급 용역,원조조달입찰,용역,입찰,제한경쟁,2026-01-12,WON,1318000000,"사업수행계획서, 기술협상 결과 및 제안요청서 등에 의함",,,,2026-01-12,2027-06-30,유라시아팀,주식회사 인터랙트,1489416723,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,시설,,,,,0
15073135:11,11,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.167,0,,,,P2026-00001,1,신규,인도,0,(장기계속/3차)2024-2026 KOICA 인도지원처 회계정산 검토용역,원조조달입찰,용역,입찰,일반경쟁,2026-01-02,WON,42487000,제안요청서 및 사업수행계획서 참조,,,,2026-01-01,2026-04-30,인도지원실,삼화회계법인,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:12,12,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2021-00141,existing_db_title_containment,0.990,1,L2022-00006-1,,,P2025-00212,1,신규,네팔,0,(장기계속/6차년도) 네팔 경찰청 사이버 안전국 설립을 통한 사이버 수사능력 강화사업 PMC 용역,원조조달입찰,용역,입찰,일반경쟁,2026-01-01,WON,918949276,"용역수행계획서, 기술협상결과 및 제안요청서 등에 의함",,,,2026-01-01,2026-12-31,서남아시아팀,"성균관대학교 산학협력단, 고려대학교산학협력단, 한림대학교 산학협력단, 수원과학대학교 산학협력단",,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:13,13,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2023-00055,official_report_title_containment,0.990,0,,,,P2025-00210,1,신규,방글라데시,0,방글라데시 플랫폼 기반의 통계 서비스 역량강화사업 통계 데이터웨어하우스 플랫폼 구축 감리 PC 용역,원조조달입찰,용역,입찰,일반경쟁,2026-01-09,WON,419770000,"사업수행계획서, 기술협상결과 및 제안요청서 등에 의함",,,,2026-01-09,2027-12-31,서남아시아팀,(주)씨에이에스,524706670,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,감리,,,,,0
15073135:14,14,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2021-00031,official_report_title_containment,0.990,0,,,,P2025-00209,1,신규,모잠비크,0,(장기계속/3차) 모잠비크 리쿵고강 유역 홍수예경보시스템 구축 사업 기자재 납품 및 설치,원조조달입찰,물품,입찰,일반경쟁,2026-01-01,WON,593855323,원계약내용에 따름,,,,2026-01-01,2026-12-31,아프리카1팀,주식회사 에스디시스템,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:15,15,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.360,0,,,,P2025-00208,1,신규,모잠비크,0,(장기계속/5차) 모잠비크 멀티바이사업 성과관리용역,원조조달입찰,용역,입찰,일반경쟁,2026-01-01,WON,74794966,"제안요청서, 사업수행계획서, 기술협상결과서 등에 의함",,,,2026-01-01,2026-12-31,아프리카1팀,(주)갈렙앤컴퍼니,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:16,16,15073135,https://www.data.go.kr/data/15073135/fileData.do,,,,0.278,0,,,,P2025-00205,2,변경,,0,"2025년 시민사회협력프로그램 종료평가 대상사업 (교육, 농림수산, 다분야) 종료평가 용역",원조조달입찰,용역,변경계약,제한경쟁,2026-02-20,WON,182666634,"용역범위는 제안요청서, 기술협상결과통보서, 평가수행계획서에 의함",Y,,Y,2026-01-01,2026-06-01,시민사회협력사업팀,지에스아이컨설팅 주식회사,217209092,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,,,,,,0
15073135:17,17,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2022-00048,official_report_title_containment,0.990,1,L2024-00021-1;L2024-00022-1,,,P2025-00204,1,신규,몽골,0,(장기계속/2차) 몽골 초중고등학교 급식환경 개선 및 역량강화 사업 가구 제작 및 설치,원조조달입찰,물품,입찰,제한경쟁,2026-01-01,WON,38370731,세부사양서 및 투찰내역서 참조,,,,2026-01-01,2026-06-30,서남아시아팀,평화사무용가구,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,학교,,,,,0
15073135:18,18,15073135,https://www.data.go.kr/data/15073135/fileData.do,,2022-00048,official_report_title_containment,0.990,1,L2024-00021-1;L2024-00022-1,,,P2025-00204,2,변경,몽골,0,(장기계속/2차) 몽골 초중고등학교 급식환경 개선 및 역량강화 사업 가구 제작 및 설치,원조조달입찰,물품,변경계약,제한경쟁,2026-03-11,WON,38370731,세부사양서 및 투찰내역서 참조,,Y,,2026-01-01,2026-12-31,서남아시아팀,평화사무용가구,,,KOICA 원조조달 계약금액; 변경계약은 차수별 스냅샷,0,,학교,,,,,0
