facility_ko,facility_en,section_code,section_name,description,specification,unit,quantity,item_code,rate_source_type,recovered_material_rate_usd,recovered_labor_rate_usd,recovered_expense_rate_usd,recovered_total_rate_usd,recovered_material_amount_usd,recovered_labor_amount_usd,recovered_expense_amount_usd,recovered_total_amount_usd,join_status,visible_material_price,visible_labor_price,visible_expense_price,visible_total_price_formula,visible_total_price_cached,source_sheet,source_row,source_file,source_sha256
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,HD400 t10,,TON,106.504,43AE2142BE7340A6C27E35B211B31B0401B47,직접자원단가,650.0,50.0,5.0,705.0,69227.6,5325.2,532.52,75085.32,복원,,,,"=ROUND(E5+G5+I5, 2)",0.0,Works particular bill,5,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,HD400 t12,,TON,54.494,43AE2142BE7340A6C27E35B211B31B0401B46,직접자원단가,650.0,50.0,5.0,705.0,35421.1,2724.7,272.47,38418.27,복원,,,,"=ROUND(E6+G6+I6, 2)",0.0,Works particular bill,6,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,HD400 t16,,TON,55.778,43AE2142BE7340A6C27E35B211B31B0401B44,직접자원단가,650.0,50.0,5.0,705.0,36255.7,2788.9,278.89,39323.49,복원,,,,"=ROUND(E7+G7+I7, 2)",0.0,Works particular bill,7,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,HD400 t20,,TON,254.815,43AE2142BE7340A6C27E35B211B31B0401B43,직접자원단가,650.0,50.0,5.0,705.0,165629.75,12740.75,1274.075,179644.575,복원,,,,"=ROUND(E8+G8+I8, 2)",0.0,Works particular bill,8,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,HD400 t25,,TON,56.31,43AE2142BE7340A6C27E35B211B31B0401B42,직접자원단가,650.0,50.0,5.0,705.0,36601.5,2815.5,281.55,39698.55,복원,,,,"=ROUND(E9+G9+I9, 2)",0.0,Works particular bill,9,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,concrete(reinforced concrete),"'f'c 350mpa, foucdation",M3,2279.0,43AE2142BE72BAF102D45DD52A0CA81817C51,직접자원단가,90.0,10.0,5.0,105.0,205110.0,22790.0,11395.0,239295.0,복원,,,,"=ROUND(E10+G10+I10, 2)",0.0,Works particular bill,10,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,concrete(reinforced concrete),"'f'c 300mpa, all members except foundation",M3,3013.0,43AE2142BE72BAF102D45DD52A0CA81817F25,직접자원단가,90.0,10.0,5.0,105.0,271170.0,30130.0,15065.0,316365.0,복원,,,,"=ROUND(E11+G11+I11, 2)",0.0,Works particular bill,11,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,concrete(finish),"'f'c 120mpa, finish work",M3,462.0,43AE2142BE72BAF102D45DD52A0CA81817E1F,직접자원단가,65.0,10.0,2.0,77.0,30030.0,4620.0,924.0,35574.0,복원,,,,"=ROUND(E12+G12+I12, 2)",0.0,Works particular bill,12,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,concrete(of leveling layer),"'f'c 80mpa, for leveling layer",M3,142.0,43AE2142BE72BAF102D45DD52A0CA8181799D,직접자원단가,60.0,10.0,2.0,72.0,8520.0,1420.0,284.0,10224.0,복원,,,,"=ROUND(E13+G13+I13, 2)",0.0,Works particular bill,13,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
병원,HOSPITAL,010101,010101  STRUCTURE WORKS,a mold for concrete,,M2,19908.0,44822B4F067B863B02B72E9E748F6,복합일위대가,5.0,15.0,0.0,20.0,99540.0,298620.0,0.0,398160.0,복원,,,,"=ROUND(E14+G14+I14, 2)",0.0,Works particular bill,14,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
