facility_ko,section_code,section_name,item_rows,recovered_rows,material_amount_usd,labor_amount_usd,expense_amount_usd,total_amount_usd
기계·전기동,010201,010201  STRUCTURE WORKS,9,9,564931.7,55925.9,9622.59,630480.19
기계·전기동,010202,010202  STEEL STRUCTURE WORKS,21,21,1807087.1455454342,0.0,0.0,1807087.1455454342
기계·전기동,010203,010203  MASONRY WORKS,5,5,304932.64,869.44,36.8,305838.88
기계·전기동,010204,010204  FINISH WORKS,3,3,8179.5,4904.05,256.62,13340.170000000002
기계·전기동,010205,010205  WATERPROOFING WORKS,5,5,68196.1,19300.9,2192.0,89689.0
기계·전기동,010206,010206  ROOF & DRAINGPIPE WORKS,2,2,42.98,75.6,0.0,118.58
기계·전기동,010207,010207  METAL WORKS,6,6,101745.0,18260.28,0.0,120005.28
기계·전기동,010208,010208  PLASTER WORKS,6,6,42900.24,5070.0,96.33,48066.57
기계·전기동,010209,010209  DOORS & WINDOWS WORKS-1,7,7,34613.789528252986,4280.0859068355185,6382.248389246835,45276.123824335344
기계·전기동,010210,010210  PAINTERS WORKS,4,4,95939.42086943644,18172.883063023037,7252.7660519884475,121365.06998444791
기계·전기동,01021101,01021101  STRUCTURE WORKS,10,10,5719.94681,222.57218,0.0,5942.5189900000005
기계·전기동,01021102,01021102  MASONRY WORKS,2,2,192152.43,25147.92,3.12,217303.47000000003
기계·전기동,01021103,01021103  FINISH WORKS,1,1,60.0,0.0,0.0,60.0
기계·전기동,01021104,01021104  METAL WORKS,3,3,12157.64,0.0,0.0,12157.64
기계·전기동,01021105,01021105  PLASTER WORKS,2,2,223.02,0.0,0.0,223.02
기계·전기동,01021106,01021106  PAINTERS WORKS,1,1,145953.9,0.0,0.0,145953.9
기계·전기동,01021201,01021201  STRUCTURE WORKS,8,8,71679.40886,0.0,0.0,71679.40886
기계·전기동,01021202,01021202  STEEL STRUCTURE WORKS,22,22,1081890.8431599997,83797.47957000001,21165.42087,1186853.7436000002
기계·전기동,01021203,01021203  FINISH WORKS,1,1,92230.20000000001,14395.5,0.0,106625.7
기계·전기동,01021204,01021204  METAL WORKS,2,2,1400.0,0.0,0.0,1400.0
기계·전기동,01021302,01021302  STEEL STRUCTURE WORKS,14,14,2491.4254862341704,2855.580610975339,5.39,5352.396097209508
기계·전기동,01021303,01021303  FINISH WORKS,1,1,3.5999999999999996,45.0,0.0,48.6
기계·전기동,01021304,01021304  METAL WORKS,1,1,1322.9652669777088,0.0,0.0,1322.9652669777088
병원,010101,010101  STRUCTURE WORKS,11,11,957942.15,384047.8,30307.505,1372297.455
병원,010102,010102  STEEL STRUCTURE WORKS,32,32,14290.550131081978,522.08,23.38,14836.01013108198
병원,010103,010103  MASONRY WORKS,6,6,125586.7,25738.27,685.8599999999999,152010.83
병원,010104,010104  STONE WORKS,10,10,58930.84,15912.699999999999,4961.33,79804.87000000002
병원,010105,010105  TILE WORKS,9,9,45021.47,12369.0,0.0,57390.47
병원,010106,010106  FINISH WORKS,77,77,551376.561179738,75222.19116418572,23440.723654743386,650039.4759986671
병원,010107,010107  WATERPROOFING WORKS,12,12,12481.96,6918.4800000000005,0.0,19400.44
병원,010108,010108  ROOF & DRAINGPIPE WORKS,3,3,7486.76,1489.8400000000001,21.84,8998.44
병원,010109,010109  METAL WORKS,33,33,154820.18,24271.619999999995,540.1,179631.89999999997
병원,010110,010110  PLASTER WORKS,14,14,82437.45999999999,2552.3100000000004,11.61,85001.37999999999
병원,010111,010111  DOORS & WINDOWS WORKS-1,119,119,356007.21711175295,18904.409999999996,6319.1,381230.72711175296
병원,010112,010112  GLASS WORKS,14,14,44780.25828408503,8607.256580019255,5.61,53393.12486410429
병원,010113,010113  PAINTERS WORKS,18,18,29039.88,358.74,0.06,29398.68
병원,010114,010114  ETC WORKS,19,19,145168.16256461528,7012.7699999999995,2015.94,154196.87256461525
연결교량,010301,010301  STRUCTURE WORKS,10,10,35916.1,14789.7,1017.97,51723.770000000004
연결교량,010302,010302  MASONRY WORKS,4,4,31716.38895060357,0.0,0.0,31716.38895060357
연결교량,010303,010303  FINISH WORKS,8,8,4813.1,5744.900000000001,80.17,10638.17
연결교량,010304,010304  WATERPROOFING WORKS,4,4,1709.3,1098.03,47.459999999999994,2854.79
연결교량,010305,010305  METAL WORKS,7,7,16338.800000000001,1582.8799999999999,604.84,18526.52
연결교량,010306,010306  PLASTER WORKS,5,5,1239.57,1626.0,0.0,2865.5699999999997
연결교량,010307,010307  DOORS & WINDOWS WORKS-1,4,4,1050.0,44.08,0.0,1094.08
연결교량,010308,010308  GLASS WORKS,3,3,28776.36,930.0,17.67,29724.03
연결교량,010309,010309  PAINTERS WORKS,3,3,42360.9568244094,4641.783307413169,2745.315855735763,49748.05598755833
