rate_type,item_code,description,specification,unit,material_rate_usd,labor_rate_usd,expense_rate_usd,total_rate_usd,source_price_candidates,source_pages,source_note,material_formula,labor_formula,expense_formula,total_formula,source_sheet,source_row,source_file,source_sha256
복합일위대가,44822B4F067B863B02B72E9E748F6,a mold for concrete,,M2,5.0,15.0,0.0,20.0,,,,=일위대가!F6,=일위대가!H6,=일위대가!J6,=E4+F4+G4,일위대가목록,4,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,44822B4F947183A3D2A5CC3AF9726,"PVC water stop, 300 mm wid",,M,1.5,0.25,0.0,1.75,,,,=일위대가!F10,=일위대가!H10,=일위대가!J10,=E5+F5+G5,일위대가목록,5,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482294B6B783411C23D19F244E22,"Concrete Curbs, 200mm thick",,M,7.94,9.51,0.22,17.669999999999998,,,,=일위대가!F16,=일위대가!H16,=일위대가!J16,=E6+F6+G6,일위대가목록,6,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482294B6B783411C23D2A6157EE3,"Concrete Curbs, 100mm thick",,M,6.94,6.51,0.22,13.67,,,,=일위대가!F22,=일위대가!H22,=일위대가!J22,=E7+F7+G7,일위대가목록,7,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482224D7C7851A6F27977E396BAC,Supply & Fixing of Limestone(thickness: 50mm) cladding with pattern including fixing accessories,,M2,20.0,10.0,5.0,35.0,,,,=일위대가!F26,=일위대가!H26,=일위대가!J26,=E8+F8+G8,일위대가목록,8,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482224D7C7851A6F27977E3968D8,Supply & Fixing of GRANITE(thickness: 30mm) cladding with pattern including fixing accessories,,M2,60.0,5.0,2.0,67.0,,,,=일위대가!F30,=일위대가!H30,=일위대가!J30,=E9+F9+G9,일위대가목록,9,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482224D7C7851A6F27977E3969FE,Supply & Fixing of Marble(thickness: 30mm) cladding with pattern including fixing accessories;,,M2,65.26,27.74,0.0,93.0,,,,=일위대가!F35,=일위대가!H35,=일위대가!J35,=E10+F10+G10,일위대가목록,10,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482224D7C7A0028821FB2B683454,GRANITE,"Floor, 30mm",M2,60.0,5.0,2.0,67.0,,,,=일위대가!F39,=일위대가!H39,=일위대가!J39,=E11+F11+G11,일위대가목록,11,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482204849760A9E127F495A4C95F,"Supply & Fixing of LLimestone Capping 675*30mm, PLYWOOD 1PLY",,M,47.44,34.64,0.68,82.76,,,,=일위대가!F46,=일위대가!H46,=일위대가!J46,=E12+F12+G12,일위대가목록,12,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
복합일위대가,4482204849760A9E127F495A4C950,"Supply & Fixing of Mable Capping 340*60mm, Mortar 30mm",,M,31.69,10.61,0.09,42.39,,,,=일위대가!F51,=일위대가!H51,=일위대가!J51,=E13+F13+G13,일위대가목록,13,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
