bid_no,project_no,source_file,source_sheet,source_row,facility,scope_multiplier_scenario_low,scope_multiplier_scenario_high,scope_multiplier_basis,element_context,heading_context,row_type,item_code,description,trade_group,unit_raw,unit_normalized,quantity_base,quantity_formula,quantity_scaled_low,quantity_scaled_high,rate_ugx,rate_formula,amount_ugx,amount_formula,is_priced,qc_flag
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,7,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,A,Bidder to visit Site,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,8,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,B,Measurements,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,9,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,C,Samples (Materials),가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,10,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,D,Rejected Workmanship or Materials,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,11,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,E,Program and Progress,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,12,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,F,Progress Photographs,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,14,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,2,TESTING,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,15,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,A,Concrete Tests,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,16,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,B,Payment for materials on Site,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,17,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,C,Priced Bills of Quantities,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
