bid_no,project_no,country_ko,project_name,source_file,extension,bytes,indexed,text_chunks,evidence_count,candidate_types,exclusion_reason
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/1)CIVIL (With Cover)_1008.xls,.xls,406528,True,460,1,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/2)GUARD-ROOM_1008.xls,.xls,82432,True,77,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/3)BOUNDARY WALL_1008.xlsx,.xlsx,33332,True,101,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/4)Electric-1008.xlsx,.xlsx,31152,True,304,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/5)FLS-1008.xlsx,.xlsx,41873,True,174,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/6)HVAC_1008.xlsx,.xlsx,17962,True,56,0,BOQ,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).pdf,.pdf,505425,True,20,6,BOQ | 가격·견적,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).XLS,.xls,684544,True,664,0,BOQ | 가격·견적,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).pdf,.pdf,505425,True,20,6,BOQ | 가격·견적,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).XLS,.xls,684544,True,664,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707.zip,.zip,6277094,True,0,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.1.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230505.xlsx,.xlsx,26633,True,64,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.2. Urgench CM Comments(Elec)_VTC+TTC-(ENG)__20230707.xlsx,.xlsx,18391,True,51,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.3.1. Urgench CM Comments(Mech) VTC_20230704_R3.xlsx,.xlsx,6188237,True,96,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.3.2. Urgench CM Comments(Mech)_Tashkent_TTC_Drawings_20230704.xlsx,.xlsx,788369,True,15,0,BOQ | 도면 | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.3.3. Urgench CM_Comments_Mech_VTC_and_TTC_Main_ENG_20230707.xlsx.docx,.docx,16615,True,9,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/.Urgench_CM_Comments_Arch_VTC_and_TTC_ENG_20230707/1.4. Urgench CM_Comments_PMC_VTC_and_TTC_ENG_20230707.xlsx,.xlsx,18240,True,24,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/Estimate Detailed Conditions)(VTC+TTC)_Final_.docx,.docx,80256,True,128,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/Section 4. Bill of Quantity(Not-Priced) Summary.xls,.xls,76800,True,115,5,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/Total Table(VTC+TTC o).xls,.xls,46592,True,57,3,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/Estimate Manual(VTC+TTC).docx,.docx,61925,True,108,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/Total Table(TTC o).xls,.xls,46080,True,27,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/1 КЖ(Structure)/bv1960bvvv.xlsx,.xlsx,182869,True,2397,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/1 КЖ(Structure)/ra1960.xlsx,.xlsx,22697,True,112,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/10 СКС(Network)/bv880.xlsx,.xlsx,18727,True,82,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/10 СКС(Network)/ra880.xlsx,.xlsx,18030,True,65,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/11 ПС(Fire Alarm)/bv890.xlsx,.xlsx,16239,True,60,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/11 ПС(Fire Alarm)/ra890.xlsx,.xlsx,16065,True,45,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/12 OB( Heating & Ventilation)/bv900.xlsx,.xlsx,57114,True,597,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/12 OB( Heating & Ventilation)/ra900.xlsx,.xlsx,25457,True,162,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/13 ТП(Transformers)/13-1 AC(Architecture+Structure)/bv13610.xls,.xls,48640,True,70,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/13 ТП(Transformers)/13-1 AC(Architecture+Structure)/ra13610.xls,.xls,80896,True,213,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/13 ТП(Transformers)/13-2 ЭО(Electric)/bv13620.xls,.xls,41984,True,48,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/13 ТП(Transformers)/13-2 ЭО(Electric)/ra13620.xls,.xls,65024,True,145,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/2 АР(Architecture)/bv3030.xlsx,.xlsx,84434,True,921,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/2 АР(Architecture)/ra3030.xlsx,.xlsx,27171,True,160,0,BOQ | 가격·견적,
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",L2023-00036-1/붙임3_입찰관련서류_검토완_0717/Section 4.  Bill of Quantities(Not-Priced)/공내역서/TTC견적서/TTC(Teacher Traing Center)/3 ГП(Site Plan & Landscape+Outdoor Infra)/bv3060.xlsx,.xlsx,27660,True,191,0,BOQ | 가격·견적,
