bid_no,project_no,country_ko,project_name,category,evidence_records
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),기간,1
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),부가세·예비비,12
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),연면적·면적,14
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",공사비,7
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",기간,2
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",부가세·예비비,10
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",총사업비·예산,2
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),공사비,7
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),기간,4
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),부가세·예비비,39
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),연면적·면적,3
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),총사업비·예산,2
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),공사비,7
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),기간,3
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),부가세·예비비,19
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),연면적·면적,3
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),총사업비·예산,2
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),공사비,7
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),기간,4
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),부가세·예비비,39
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),연면적·면적,3
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),총사업비·예산,2
L2022-00068-1,2020-00053,에티오피아,"에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업(`20-`26/1,000만불)",공사비,7
L2022-00068-1,2020-00053,에티오피아,"에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업(`20-`26/1,000만불)",기간,2
L2022-00068-1,2020-00053,에티오피아,"에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업(`20-`26/1,000만불)",부가세·예비비,10
L2022-00068-1,2020-00053,에티오피아,"에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업(`20-`26/1,000만불)",총사업비·예산,2
L2023-00004-1,2020-00053,에티오피아,"에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업(`20-`26/1,000만불)",부가세·예비비,1
L2023-00028-1,2021-00042,우간다,"우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업(`21-`28/1,200만불)",부가세·예비비,2
L2023-00028-1,2021-00042,우간다,"우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업(`21-`28/1,200만불)",연면적·면적,4
L2023-00036-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",부가세·예비비,8
L2023-00040-1,2020-00070,도미니카,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업('20-'26/550만불),공사비,7
L2023-00040-1,2020-00070,도미니카,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업('20-'26/550만불),기간,2
L2023-00040-1,2020-00070,도미니카,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업('20-'26/550만불),부가세·예비비,10
L2023-00040-1,2020-00070,도미니카,도미니카공화국 여성 중심 취약계층 사회.경제적 역량강화사업('20-'26/550만불),총사업비·예산,2
L2023-00053-1,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업('20-'24/1,400만불)",부가세·예비비,8
L2023-00061-1,2022-00036,에티오피아,"에티오피아 가죽 및 가죽제품 경쟁력 강화 사업('22-'27/1,000만불)",공사비,7
L2023-00061-1,2022-00036,에티오피아,"에티오피아 가죽 및 가죽제품 경쟁력 강화 사업('22-'27/1,000만불)",기간,2
L2023-00061-1,2022-00036,에티오피아,"에티오피아 가죽 및 가죽제품 경쟁력 강화 사업('22-'27/1,000만불)",부가세·예비비,9
L2023-00061-1,2022-00036,에티오피아,"에티오피아 가죽 및 가죽제품 경쟁력 강화 사업('22-'27/1,000만불)",총사업비·예산,2
L2023-00068-1,2011-00008,캄보디아,캄보디아 안과전문병원 설립사업('11-'15/550만불),부가세·예비비,2
L2024-00039-1,2014-00016,이라크,이라크 한-이라크 직업훈련원 2차 지원사업('14-'25/541만불),연면적·면적,2
L2024-00068-1,2021-00104,코트디부아르,코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업(`21-`26/758만불),연면적·면적,27
L2024-00068-2,2021-00104,코트디부아르,코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업(`21-`26/758만불),연면적·면적,27
L2025-00009-1,2017-14639,페루,중남미 사후관리(사후지원),부가세·예비비,3
L2025-00011-1,2022-00598,파키스탄,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업(22-28/795만불),부가세·예비비,7
