bid_no,project_no,country_ko,project_name,source_file,extension,bytes,indexed,text_chunks,evidence_count,candidate_types,exclusion_reason
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/1)CIVIL (With Cover)_1008.xls,.xls,406528,True,460,1,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/2)GUARD-ROOM_1008.xls,.xls,82432,True,77,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/3)BOUNDARY WALL_1008.xlsx,.xlsx,33332,True,101,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/4)Electric-1008.xlsx,.xlsx,31152,True,304,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/5)FLS-1008.xlsx,.xlsx,41873,True,174,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 2. Bid BoQ_1021/6)HVAC_1008.xlsx,.xlsx,17962,True,56,0,BOQ,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/1)PDF(PUBLIC HEALTH)-1008.pdf,.pdf,4244875,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/2)PDF(STRUCTURE)-1008.pdf,.pdf,9280476,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/3)PDF(ARCHITECTURE)-1008.pdf,.pdf,15790034,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/4)PDF(HVAC+THERMO-HIGRO+AIR PIPING)-1008.pdf,.pdf,1134641,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/5)PDF(FLS)-1008.pdf,.pdf,2690438,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/6)PDF(Electricity+CCTV+COMM)-1008.pdf,.pdf,8264643,True,0,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-1)Architecture.pdf,.pdf,1505310,True,262,4,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-2)Civil.pdf,.pdf,2110945,True,293,17,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-3)Electrical.pdf,.pdf,1379081,True,156,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-4)Electrical.pdf,.pdf,1379081,True,156,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-5)Fire protection(0915).pdf,.pdf,898976,True,57,0,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-6)Plumbing(0915).pdf,.pdf,1318265,True,82,1,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-7)Structrue.pdf,.pdf,606784,True,59,2,도면 | 시방서,
L2021-00031-1,2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업('19-'23/950만불),L2021-00031-1/2. Chapters/Chapter 6. Construction Drawing and Specification_1016/spec-8)Telecom.pdf,.pdf,606769,True,59,2,도면 | 시방서,
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",L2022-00031-1/붙임 2 입찰 관련 문서 (220628)/13. KOICA Bidding Regulations/1. KOICA Regulations for International Procurement(국제조달규정)_20190304.pdf,.pdf,375625,True,55,1,,
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",L2022-00031-1/붙임 2 입찰 관련 문서 (220628)/13. KOICA Bidding Regulations/2. Regulations for Procurement and Contract in Grant Aid Projects(대외무상협력사업에 관한 조달 및 계약규정)_20190520.pdf,.pdf,157627,True,33,2,,
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",L2022-00031-1/붙임 2 입찰 관련 문서 (220628)/13. KOICA Bidding Regulations/3. Detailed Enforcement Rules of the Regulations for Procurement and Contract in Grant Aid Projects(대외무상협력사업에 관한 조달 및 계약규정 시.pdf,.pdf,554876,True,123,8,,
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",L2022-00031-1/붙임 2 입찰 관련 문서 (220628)/13. KOICA Bidding Regulations/4. Guidelines for Technical Evaluation(기술평가지침)_20210408.pdf,.pdf,416852,True,65,9,,
L2022-00031-1,2021-00029,파키스탄,"파키스탄 KP주 아보타바드시 하베리안지역 상수도공급 지원사업('21-'26/1,200만불)",L2022-00031-1/붙임 2 입찰 관련 문서 (220628)/13. KOICA Bidding Regulations/5. Standard of Prequalification Criteria(입찰참가자격사전심사기준)_20130116.pdf,.pdf,473791,True,26,1,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/00-Especificaciones técnicas GENERALES/FULL GENERAL PROVISONS SPECIFICATIONS _CPSIA DD100%.pdf,.pdf,206820,True,9,0,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/01-Especificaciones técnicas ARQUITECTONICAS/ANEXO/20220329-Code analysis.pdf,.pdf,173607,True,3,3,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/01-Especificaciones técnicas ARQUITECTONICAS/Full ARCHITECTURAL specifications_CPSIA DD100%.pdf,.pdf,1290430,True,80,3,도면 | 시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/ANEXOS/000_TOPÓGRAFO/2021_08_03_CURVAS DE NIVEL.pdf,.pdf,165871,True,1,0,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/ANEXOS/001-GEOTECNICAL/IG_266_21 Geothecnical Report_Project_Estancia_CPSIA ENGLISH.pdf,.pdf,1360036,True,20,0,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/FULL CIVIL SPECIFICATIONS _CPSIA DD100%.pdf,.pdf,541597,True,45,1,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/03-Especificaciones técnicas SANITARIAS/Full Sanitary specifications_CPSIA DD100%.pdf,.pdf,452360,True,45,3,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/04-Especificaciones técnicas ELECTRICAS/Full Electric specifications_CPSIA DD100%.pdf,.pdf,407450,True,13,2,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/05-Especificaciones técnicas HVAC/Full HVAC specifications_CPSIA DD100% .pdf,.pdf,359520,True,11,0,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/07-Especificaciones técnicas IT/Full IT specification_CPSIA DD100%.pdf,.pdf,335403,True,13,1,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/08-Especificaciones_técnicas COMPILACION/20220421_FULL SPECIFICATION COMPILATION CPSIA_DD 100%.pdf,.pdf,3361341,True,224,11,시방서,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).pdf,.pdf,505425,True,20,6,BOQ | 가격·견적,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).XLS,.xls,684544,True,664,0,BOQ | 가격·견적,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/1. Detailed Enforcement Rules of the Regulations for Procurement and Contract in Grant Aid Projects.pdf,.pdf,554876,True,123,8,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/2. Guidelines for Technical Evaluation.pdf,.pdf,416852,True,65,9,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/3. KOICA Regulations for International Procurement.pdf,.pdf,375625,True,55,1,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/4. Regulations for Procurement and Contract in Grant Aid Projects.pdf,.pdf,157627,True,33,2,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/5. Standard of Prequalification Criteria.pdf,.pdf,473791,True,26,1,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/6. Standards of Qualification Examination for Selection of Constructor.pdf,.pdf,315288,True,12,0,,
L2022-00032-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00032-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/7. KOICA Safety Management Manual.pdf,.pdf,378337,True,37,4,,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 11. KOICA bidding Regulation/Detailed Enforcement Rules of the Regulations for Procurement and Contract in Grant Aid Projects(대외무상협력사업에 관한 조달 및 계약규정 시ᄒ.pdf,.pdf,554876,True,123,8,,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 11. KOICA bidding Regulation/Guidelines for Technical Evaluation(기술평가지침)_20210408.pdf,.pdf,416852,True,65,9,,
